id,question,optionA,optionB,optionC,optionD,optionE,Correct
164,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) ant, b) van, c) work }
Group 2: { x) shop, y) old, z) run }",CY,CZ,BY,CX,AY,D
165,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) owl, b) lap, c) out }
Group 2: { x) log, y) run, z) side }",BX,CZ,AX,AZ,CX,B
166,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) say, b) day, c) put }
Group 2: { x) low, y) dream, z) sky }",BY,BZ,CX,AY,AZ,A
167,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) toy, b) up, c) map }
Group 2: { x) set, y) get, z) say }",AY,BX,BZ,CY,CX,B
168,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) zoo, b) ant, c) tooth }
Group 2: { x) run, y) brush, z) rat }",CY,CX,BX,CZ,AZ,A
169,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) ant, b) grand, c) sky }
Group 2: { x) get, y) mother, z) map }",CX,BY,AY,CY,BZ,B
170,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mail, b) mad, c) put }
Group 2: { x) box, y) get, z) car }",BY,CY,CX,BX,AX,E
171,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) rat, b) news, c) zoo }
Group 2: { x) van, y) rat, z) paper }",BY,AY,CZ,BZ,AZ,D
172,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) cap, b) lap, c) hand }
Group 2: { x) red, y) shake, z) rat }",CZ,CY,BX,CX,BY,B
173,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) lap, b) win, c) blue }
Group 2: { x) cap, y) berry, z) ant }",BY,CY,CZ,BX,AZ,B
174,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) cat, b) car, c) bed }
Group 2: { x) pig, y) sad, z) room }",CZ,CX,BX,BY,BZ,A
175,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) side, b) rat, c) red }
Group 2: { x) web, y) kick, z) win }",AY,CY,AZ,CX,BX,A
176,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mad, b) old, c) moon }
Group 2: { x) big, y) run, z) light }",BY,AZ,AY,CZ,AX,D
177,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mad, b) pen, c) cat }
Group 2: { x) log, y) fish, z) put }",CZ,CY,BX,AZ,BY,B
178,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) low, b) straw, c) fog }
Group 2: { x) berry, y) mad, z) map }",BY,BX,CX,AZ,BZ,B
179,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pop, b) cat, c) cap }
Group 2: { x) corn, y) bad, z) say }",CZ,BX,AX,CX,BY,C
180,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) rat, b) wind, c) owl }
Group 2: { x) web, y) log, z) mill }",AX,CX,AZ,CY,BZ,E
181,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mad, b) ant, c) fish }
Group 2: { x) bowl, y) pen, z) mud }",CZ,AY,CX,AX,BX,C
182,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) rattle, b) big, c) hat }
Group 2: { x) ant, y) old, z) snake }",AX,BX,AZ,CX,CY,C
183,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sad, b) sand, c) car }
Group 2: { x) box, y) sky, z) web }",AX,BY,BX,CZ,CX,C
184,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) big, b) mad, c) life }
Group 2: { x) rat, y) fog, z) boat }",CZ,BY,BX,AX,AY,A
185,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) fire, b) tap, c) owl }
Group 2: { x) top, y) new, z) fly }",AY,CZ,AZ,BY,BX,C
186,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) tooth, b) cap, c) pig }
Group 2: { x) put, y) owl, z) paste }",AZ,CZ,AX,BY,BX,A
187,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) hat, b) put, c) sand }
Group 2: { x) new, y) get, z) box }",CX,CZ,AX,AY,CY,B
188,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) super, b) toy, c) van }
Group 2: { x) fog, y) man, z) low }",AY,AX,BZ,BY,CZ,A
189,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) butter, b) cat, c) bus }
Group 2: { x) owl, y) fly, z) put }",BX,AY,BY,CY,AZ,B
190,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) car, b) fog, c) motor }
Group 2: { x) cycle, y) cat, z) map }",AY,CX,BX,BZ,AZ,B
191,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) pen, b) foot, c) new }
Group 2: { x) print, y) pen, z) big }",AY,CY,CX,BX,AZ,D
192,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) get, b) snow, c) low }
Group 2: { x) cap, y) flake, z) map }",BY,BX,AX,CZ,AY,A
193,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) sun, b) win, c) toy }
Group 2: { x) put, y) rat, z) light }",AX,CY,AY,CX,AZ,E
194,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) lap, b) bull, c) dog }
Group 2: { x) mud, y) get, z) dog }",BY,CX,CY,BZ,AX,D
195,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) run, b) rain, c) sky }
Group 2: { x) drop, y) sad, z) old }",AZ,BY,BX,CX,AX,C
196,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) top, b) over, c) bat }
Group 2: { x) coat, y) pig, z) run }",AY,CX,AZ,BX,CZ,D
197,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) wall, b) log, c) toy }
Group 2: { x) pig, y) paper, z) bad }",CZ,BX,AY,AZ,BZ,C
198,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) bad, b) flash, c) bus }
Group 2: { x) tap, y) map, z) light }",BY,BZ,BX,CZ,CX,B
199,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) mud, b) bus, c) book }
Group 2: { x) store, y) get, z) mud }",BX,BZ,CZ,CX,CY,D
200,"Select one word from the first group and one from the second to make a new compound word.
Group 1: { a) bat, b) mad, c) cup }
Group 2: { x) say, y) get, z) cake }",AZ,AY,CY,CZ,CX,D
