ID,Question,A,B,C,D,E,Correct Answer,Explanation
HW_218,Trains were delayed through industrial action.,Trains were,were delayed,delayed through,through industrial,industrial action,D,The hidden word is HIND (tHrougH INDustrial).
HW_219,Do not climb the yew tree.,Do not,not climb,climb the,the yew,yew tree,D,The hidden word is THEY (tHE Yew).
HW_220,It is raining cats and dogs.,It is,is raining,raining cats,cats and,and dogs,D,The hidden word is SAND (catS AND).
HW_223,They went for lunch in there.,They went,went for,for lunch,lunch in,in there,D,The hidden word is CHIN (lunCH IN).
HW_224,My dad picked the chocolate dessert.,My dad,dad picked,picked the,the chocolate,chocolate dessert,D,The hidden word is ECHO (thE CHOcolate).
HW_277,Give the dog a huge bone,Give the,the dog,dog a,a huge,huge bone,D,The hidden word is GONE (a huge).
HW_278,We found a damp area here,We found,found a,a damp,damp area,area here,D,The hidden word is PARE (damp area).
HW_02,Set the box in the attic.,Set the,the box,box in,in the,the attic,E,The hidden word is HEAT (tHE ATtic).
HW_08,You must clean the tub early.,You must,must clean,clean the,the tub,tub early,E,The hidden word is BEAR (tuB EARly).
HW_205,Cats have better eyesight than dogs.,Cats have,have better,better eyesight,eyesight than,than dogs,E,The hidden word is HAND (tHAN Dogs).
HW_248,We went to the top area,We went,went to,to the,the top,top area,E,The hidden word is PEAR (top area).
HW_249,Dad drove to the car park,Dad drove,drove to,to the,the car,car park,E,The hidden word is CARP (car park).
HW_250,I will buy a new shed,I will,will buy,buy a,a new,new shed,E,The hidden word is NEWS (new shed).
HW_251,Only use the very best ink,Only use,use the,the very,very best,best ink,E,The hidden word is STINK (best ink).
HW_252,Look at the big bus top,Look at,at the,the big,big bus,bus top,E,The hidden word is BUST (bus top).
HW_253,Please wash the dirty pan now,Please wash,wash the,the dirty,dirty pan,pan now,E,The hidden word is PANT (pan now).
HW_254,We went to the shop early,We went,went to,to the,the shop,shop early,E,The hidden word is PEAR (shop early).
HW_255,I hope you have some cash,I hope,hope you,you have,have some,some cash,E,The hidden word is MESH (some cash).
HW_256,Look at the deep land now,Look at,at the,the deep,deep land,land now,E,The hidden word is PLAN (land now).
HW_257,The big dog has one ear,The big,big dog,dog has,has one,one ear,E,The hidden word is NEAR (one ear).
HW_258,It is much too late now,It is,is much,much too,too late,late now,E,The hidden word is TOOL (late now).
HW_259,Can you see the real sofa,Can you,you see,see the,the real,real sofa,E,The hidden word is ALSO (real sofa).
HW_260,He drove a fast car past,He drove,drove a,a fast,fast car,car past,E,The hidden word is CARP (car past).
HW_261,Did you see the red star,Did you,you see,see the,the red,red star,E,The hidden word is REDS (red star).
HW_262,The girl has a gold ring,The girl,girl has,has a,a gold,gold ring,E,The hidden word is FOLD (gold ring).
HW_263,The king has a gold fish,The king,king has,has a,a gold,gold fish,E,The hidden word is GOLF (gold fish).
HW_264,Watch the big green leaf fall,Watch the,the big,big green,green leaf,leaf fall,E,The hidden word is LEAF (leaf fall).
HW_265,Watch the big green leaf all,Watch the,the big,big green,green leaf,leaf all,E,The hidden word is FALL (leaf all).
HW_266,Put the rubbish in the bin,Put the,the rubbish,rubbish in,in the,the bin,E,The hidden word is THEN (the bin).
HW_267,You must read the last art,You must,must read,read the,the last,last art,E,The hidden word is STAR (last art).
HW_268,We found the lost golf ball,We found,found the,the lost,lost golf,golf ball,E,The hidden word is WOLF (golf ball).
