Question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Difficulty
UH RK ON LQ [?],IT,JU,TI,GT,IU,IT,Level 2
CN BO ZQ WT [?],SX,SY,TY,UA,TX,SX,Level 3
TK SJ RI QH [?],PG,PF,RH,SE,QG,PG,Level 1
PY SV VS YP [?],DJ,BN,AN,BM,DM,BM,Level 2
DZ FB HD JF [?],LF,LH,LG,HL,MH,LH,Level 1
RE SD UB XY [?],UB,AT,BU,BV,AV,BU,Level 3
ON PO QP RQ [?],SS,RQ,SQ,QR,SR,SR,Level 2
JM GO DQ AS [?],UX,XV,AW,WU,XU,XU,Level 2
IB JE KH LK [?],NM,NO,LO,MN,JK,MN,Level 2
LG IJ FM CP [?],ZR,SZ,ZT,ZU,ZS,ZS,Level 2
TO WR AV FA [?],KG,LH,KH,LF,LG,LG,Level 3
LL NN QQ UU [?],ZZ,BZ,ZX,AW,BW,ZZ,Level 3
LO MR OV RA [?],GV,VF,VI,VG,WH,VG,Level 3
NZ LX JV HT [?],FP,RF,FR,EQ,DQ,FR,Level 1
IE JF KG LH [?],NH,MJ,LI,MI,IM,MI,Level 1
IY JZ KA LB [?],CM,NB,MA,MC,MF,MC,Level 1
JH ME JH ME [?],JG,JH,HH,II,JF,JH,Level 4
DG GJ JM MP [?],PS,QT,ST,PT,SP,PS,Level 2
TD RF PH NJ [?],KM,LL,LM,OJ,NL,LL,Level 2
OD RG UJ XM [?],PA,ZQ,AP,AN,BO,AP,Level 1
FW DT FW DT [?],DW,WF,GV,FW,CT,FW,Level 4
HN GL EI BE [?],XA,XZ,ZB,XY,AW,XZ,Level 3
PC NB KZ GW [?],BS,AS,BT,ZS,CS,BS,Level 3
ZV CY FB IE [?],HL,KH,JH,OE,LH,LH,Level 1
VV XY AC EH [?],JL,JN,JP,NJ,KN,JN,Level 3
GS DR AQ XP [?],TN,SO,VN,VO,UO,UO,Level 2
WX VU WX VU [?],YX,VX,XW,WX,VY,WX,Level 4
XH UG RF OE [?],LD,ME,MD,MA,DL,LD,Level 2
LU IT FS CR [?],AR,QZ,ZS,ZQ,XQ,ZQ,Level 2
ZN BK DH FE [?],HA,BH,HB,GA,HZ,HB,Level 2
ET GS ET GS [?],EU,DT,DS,ET,BQ,ET,Level 4
BK CL DM EN [?],DO,FQ,FO,OF,IR,FO,Level 2
PK RM TO VQ [?],ZS,SX,XS,YT,ZT,XS,Level 1
CX EU GR IO [?],MN,KN,KK,KL,LK,KL,Level 2
GB HY JU MP [?],QL,PJ,QJ,PI,OG,QJ,Level 3
VU WV XW YX [?],AX,BY,YY,ZY,ZX,ZY,Level 1
ZK XN VQ TT [?],OT,RV,RW,RU,WR,RW,Level 2
OR NT LW IA [?],CF,EF,DF,FE,HG,EF,Level 3
OK QJ SI UH [?],UF,UG,WG,GW,WE,WG,Level 2
LY MB NE OH [?],RK,PI,OL,RJ,PK,PK,Level 2
LC IZ EV ZQ [?],RJ,SI,SL,TK,UL,TK,Level 3
DA AY WV RR [?],ML,LN,LJ,LM,MM,LM,Level 3
AK BI CG DE [?],CE,GA,EC,GC,EB,EC,Level 2
VR ST VR ST [?],UR,VT,WS,VR,RV,VR,Level 4
GG FE GG FE [?],FG,GI,HF,GG,GH,GG,Level 4
BE YD UB PY [?],UJ,JT,KU,IV,JU,JU,Level 3
EN HQ KT NW [?],QZ,RY,PZ,QX,RZ,QZ,Level 2
YG WJ TN PS [?],HZ,LY,KY,JX,KA,KY,Level 3
WY UW RT NP [?],IM,HL,KK,KI,IK,IK,Level 3
EF GH IJ KL [?],MN,LN,NN,ML,NM,MN,Level 2
NO LN JM HL [?],EI,FK,FJ,DK,GK,FK,Level 2
RL SM RL SM [?],QL,RL,TJ,RN,LR,RL,Level 4
IX JU KR LO [?],KL,LM,NL,LL,ML,ML,Level 2
EK HI KG NE [?],NA,QA,CQ,QC,PC,QC,Level 2
JF MI QM VR [?],BA,XB,DX,BX,BV,BX,Level 3
CQ ET GW IZ [?],JB,KB,KC,LB,JD,KC,Level 2
UB VZ XW AS [?],EN,CN,BM,NE,FO,EN,Level 3
TY QZ TY QZ [?],YT,SZ,SY,TY,VY,TY,Level 4
YL XN WP VR [?],WT,TS,UV,VS,UT,UT,Level 2
GJ JG NC SX [?],YT,BS,YQ,ZQ,YR,YR,Level 3
NP QS TV WY [?],BB,ZC,AA,BZ,ZB,ZB,Level 2
AQ DT AQ DT [?],AQ,BR,DO,QA,AR,AQ,Level 4
ZV WY TB QE [?],NH,KG,OG,NG,OI,NH,Level 2
RA UX XU AR [?],CQ,EN,DP,CL,DO,DO,Level 2
KQ MO OM QK [?],TH,RK,SG,SI,RJ,SI,Level 2
EC HD LF QI [?],WL,XM,XN,WM,YM,WM,Level 3
RG SF RG SF [?],RI,PG,TG,RG,SF,RG,Level 4
EA CZ AY YX [?],WW,UW,WY,ZW,VV,WW,Level 2
FK DN AR WW [?],OA,OD,RD,RC,RA,RC,Level 3
RT UV YY DC [?],KH,JH,KF,KG,HJ,JH,Level 3
HB GA FZ EY [?],EY,CY,DX,XD,BX,DX,Level 1
LV NX PZ RB [?],SC,VD,TE,DT,TD,TD,Level 2
MB OY RU VP [?],AL,BK,AJ,DL,ZJ,AJ,Level 3
XT ZV BX DZ [?],GA,FB,DC,EA,EY,FB,Level 1
KG ID KG ID [?],JF,KI,JG,KG,GK,KG,Level 4
WD XB ZY CU [?],FO,GP,HO,EP,HQ,GP,Level 3
HP JO MM QJ [?],VF,VI,UG,WE,XF,VF,Level 3
MC PB SA VZ [?],YA,VB,XZ,YY,XV,YY,Level 2
IQ KT NX RC [?],IW,WG,XJ,XI,WI,WI,Level 3
PG QH RI SJ [?],SL,RI,TK,TJ,KT,TK,Level 1
DB CD DB CD [?],EB,EA,DB,CA,BB,DB,Level 4
SI QG OE MC [?],MD,MA,KA,AK,KZ,KA,Level 1
GD FG EJ DM [?],CP,BQ,PC,DP,AP,CP,Level 2
LA KY IV FR [?],BO,EL,MB,BM,CN,BM,Level 3
TF UC VZ WW [?],XT,ZU,VT,YT,VW,XT,Level 2
IE KG MI OK [?],QL,RL,QM,PL,MQ,QM,Level 1
FD IF FD IF [?],EC,FF,FE,FD,DD,FD,Level 4
XZ AX XZ AX [?],XY,XZ,WA,VZ,YY,XZ,Level 4
CR FO IL LI [?],OF,NG,PF,QG,QC,OF,Level 2
WZ XW ZS CN [?],GH,HH,GI,HG,IH,GH,Level 3
DY AV XS UP [?],RN,SN,RM,RK,RL,RM,Level 2
IH HK IH HK [?],GH,GF,IH,HI,FH,IH,Level 4
WE YD AC CB [?],EA,FA,AE,FD,EZ,EA,Level 2
FE HG JI LK [?],ON,NM,NN,OM,PO,NM,Level 1
OR LS HU CX [?],UB,XC,VA,WB,YB,WB,Level 3
SO UQ WS YU [?],WA,BV,AW,ZW,BX,AW,Level 1
BA ZD XG VJ [?],RO,SN,UM,RM,TM,TM,Level 2
YU ZV AW BX [?],CW,BW,YC,CV,CY,CY,Level 2
QO OP LR HU [?],EX,BZ,DZ,EZ,CY,CY,Level 3
AL YN WP UR [?],UT,TU,ST,SR,TS,ST,Level 2
HK EH BE YB [?],WV,VX,VY,WY,SZ,VY,Level 2
LT OW RZ UC [?],XF,XD,VF,FX,WG,XF,Level 1
FN EP CS ZW [?],WB,VY,VC,VB,WC,VB,Level 3
HQ ET BW YZ [?],YE,UZ,VD,VC,VA,VC,Level 2
