id,Difficulty,Question Pairs,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Explanation
134,Level 2,"(yank, tug) (fool, idiot)",FAN,TENDER,FAIR,JERK,MINUTE,D,The word 'JERK' links the two pairs. 1. Jerk means 'yank' or 'tug'. 2. Jerk also means 'fool' or 'idiot'.
135,Level 2,"(present, existing) (stream, tide)",PLAY,JERK,FAN,CURRENT,MATCH,D,The word 'CURRENT' links the two pairs. 1. Current means 'present' or 'existing'. 2. Current also means 'stream' or 'tide'.
136,Level 2,"(dossier, folder) (rub, scrape)",REFUSE,GRATE,CONTRACT,SEASON,FILE,E,The word 'FILE' links the two pairs. 1. File means 'dossier' or 'folder'. 2. File also means 'rub' or 'scrape'.
137,Level 2,"(lock, fasten) (dash, run)",SCALE,WATCH,BOLT,PRESENT,FAIR,C,The word 'BOLT' links the two pairs. 1. Bolt means 'lock' or 'fasten'. 2. Bolt also means 'dash' or 'run'.
138,Level 2,"(present, now) (flow, tide)",BAT,POUND,JAM,CURRENT,STEEP,D,The word 'CURRENT' links the two pairs. 1. Current means 'present' or 'now'. 2. Current also means 'flow' or 'tide'.
139,Level 2,"(equal, just) (festival, fete)",FAIR,JAM,BAT,PARK,OBJECT,A,The word 'FAIR' links the two pairs. 1. Fair means 'equal' or 'just'. 2. Fair also means 'festival' or 'fete'.
140,Level 2,"(scrape, shred) (basket, fireplace)",QUAIL,PARK,GRAVE,GRATE,OBJECT,D,The word 'GRATE' links the two pairs. 1. Grate means 'scrape' or 'shred'. 2. Grate also means 'basket' or 'fireplace'.
141,Level 2,"(record, folder) (rub, smooth)",SINK,PARK,JERK,TRIP,FILE,E,The word 'FILE' links the two pairs. 1. File means 'record' or 'folder'. 2. File also means 'rub' or 'smooth'.
142,Level 2,"(pond, puddle) (share, merge)",CONTENT,ROCK,POOL,BARK,QUAIL,C,The word 'POOL' links the two pairs. 1. Pool means 'pond' or 'puddle'. 2. Pool also means 'share' or 'merge'.
143,Level 2,"(puddle, lake) (share, combine)",PLAY,WAVE,STEEP,TENDER,POOL,E,The word 'POOL' links the two pairs. 1. Pool means 'puddle' or 'lake'. 2. Pool also means 'share' or 'combine'.
144,Level 2,"(present, existing) (stream, flow)",RING,CURRENT,RASH,LEAD,CONTENT,B,The word 'CURRENT' links the two pairs. 1. Current means 'present' or 'existing'. 2. Current also means 'stream' or 'flow'.
145,Level 2,"(impartial, equal) (festival, carnival)",FLY,TENDER,FAIR,QUAIL,POUND,C,The word 'FAIR' links the two pairs. 1. Fair means 'impartial' or 'equal'. 2. Fair also means 'festival' or 'carnival'.
146,Level 2,"(puddle, lake) (share, merge)",POOL,PATIENT,MINT,FLY,RACKET,A,The word 'POOL' links the two pairs. 1. Pool means 'puddle' or 'lake'. 2. Pool also means 'share' or 'merge'.
147,Level 2,"(invalid, sufferer) (tolerant, enduring)",RASH,PATIENT,ROCK,FILE,CONTENT,B,The word 'PATIENT' links the two pairs. 1. Patient means 'invalid' or 'sufferer'. 2. Patient also means 'tolerant' or 'enduring'.
148,Level 2,"(severe, harsh) (rear, aft)",FINE,YARD,SINK,PRESENT,STERN,E,The word 'STERN' links the two pairs. 1. Stern means 'severe' or 'harsh'. 2. Stern also means 'rear' or 'aft'.
149,Level 2,"(tug, yank) (dolt, idiot)",JERK,JAM,FAN,SEASON,CONTENT,A,The word 'JERK' links the two pairs. 1. Jerk means 'tug' or 'yank'. 2. Jerk also means 'dolt' or 'idiot'.
150,Level 2,"(spots, eruption) (hasty, careless)",TRIP,BOLT,RASH,MINUTE,CONTENT,C,The word 'RASH' links the two pairs. 1. Rash means 'spots' or 'eruption'. 2. Rash also means 'hasty' or 'careless'.
151,Level 2,"(society, group) (weapon, stick)",CURRENT,SINK,CLUB,FILE,REFUSE,C,The word 'CLUB' links the two pairs. 1. Club means 'society' or 'group'. 2. Club also means 'weapon' or 'stick'.
152,Level 2,"(pond, lake) (share, combine)",MINT,CURRENT,PLAY,POOL,YARD,D,The word 'POOL' links the two pairs. 1. Pool means 'pond' or 'lake'. 2. Pool also means 'share' or 'combine'.
153,Level 2,"(harsh, severe) (back, rear)",STERN,POUND,POOL,SINK,PLAY,A,The word 'STERN' links the two pairs. 1. Stern means 'harsh' or 'severe'. 2. Stern also means 'back' or 'rear'.
154,Level 2,"(yank, tug) (dolt, fool)",LONG,SINK,BAT,JERK,GRATE,D,The word 'JERK' links the two pairs. 1. Jerk means 'yank' or 'tug'. 2. Jerk also means 'dolt' or 'fool'.
155,Level 2,"(existing, present) (tide, stream)",FAIR,FILE,CURRENT,GRATE,SINK,C,The word 'CURRENT' links the two pairs. 1. Current means 'existing' or 'present'. 2. Current also means 'tide' or 'stream'.
156,Level 2,"(just, impartial) (carnival, fete)",PLAY,GRAVE,FLY,FAIR,MATCH,D,The word 'FAIR' links the two pairs. 1. Fair means 'just' or 'impartial'. 2. Fair also means 'carnival' or 'fete'.
157,Level 2,"(group, association) (weapon, baton)",CLUB,INVALID,CONTRACT,PARK,SEASON,A,The word 'CLUB' links the two pairs. 1. Club means 'group' or 'association'. 2. Club also means 'weapon' or 'baton'.
158,Level 2,"(leaf, herb) (new, fresh)",MINT,PLAY,OBJECT,BARK,QUAIL,A,The word 'MINT' links the two pairs. 1. Mint means 'leaf' or 'herb'. 2. Mint also means 'new' or 'fresh'.
159,Level 2,"(association, society) (weapon, stick)",FILE,BAT,FLY,CLUB,FAIR,D,The word 'CLUB' links the two pairs. 1. Club means 'association' or 'society'. 2. Club also means 'weapon' or 'stick'.
160,Level 2,"(secure, lock) (dash, run)",LEAD,FILE,INVALID,BOLT,LONG,D,The word 'BOLT' links the two pairs. 1. Bolt means 'secure' or 'lock'. 2. Bolt also means 'dash' or 'run'.
161,Level 2,"(cash, currency) (thump, beat)",OBJECT,RING,JERK,LONG,POUND,E,The word 'POUND' links the two pairs. 1. Pound means 'cash' or 'currency'. 2. Pound also means 'thump' or 'beat'.
162,Level 2,"(pull, tug) (idiot, dolt)",PRESENT,FAN,BARK,POOL,JERK,E,The word 'JERK' links the two pairs. 1. Jerk means 'pull' or 'tug'. 2. Jerk also means 'idiot' or 'dolt'.
163,Level 2,"(lock, fasten) (run, flee)",POUND,PATIENT,BOLT,JERK,RASH,C,The word 'BOLT' links the two pairs. 1. Bolt means 'lock' or 'fasten'. 2. Bolt also means 'run' or 'flee'.
164,Level 2,"(equal, impartial) (festival, carnival)",FAIR,CONTENT,FINE,STERN,RING,A,The word 'FAIR' links the two pairs. 1. Fair means 'equal' or 'impartial'. 2. Fair also means 'festival' or 'carnival'.
165,Level 2,"(tall, extended) (wish, desire)",LONG,TENDER,BOLT,LEAD,BARK,A,The word 'LONG' links the two pairs. 1. Long means 'tall' or 'extended'. 2. Long also means 'wish' or 'desire'.
166,Level 2,"(tall, lengthy) (wish, yearn)",LONG,OBJECT,FAIR,SCALE,TRIP,A,The word 'LONG' links the two pairs. 1. Long means 'tall' or 'lengthy'. 2. Long also means 'wish' or 'yearn'.
167,Level 2,"(equal, impartial) (festival, carnival)",REFUSE,SCALE,FLY,FAIR,RASH,D,The word 'FAIR' links the two pairs. 1. Fair means 'equal' or 'impartial'. 2. Fair also means 'festival' or 'carnival'.
168,Level 2,"(fasten, secure) (run, dash)",JERK,BOLT,PRESENT,FINE,BARK,B,The word 'BOLT' links the two pairs. 1. Bolt means 'fasten' or 'secure'. 2. Bolt also means 'run' or 'dash'.
169,Level 2,"(pond, puddle) (merge, combine)",REFUSE,PARK,MINUTE,POOL,RING,D,The word 'POOL' links the two pairs. 1. Pool means 'pond' or 'puddle'. 2. Pool also means 'merge' or 'combine'.
170,Level 2,"(ascend, mount) (plate, flake)",GRATE,JERK,RASH,SCALE,CONTENT,D,The word 'SCALE' links the two pairs. 1. Scale means 'ascend' or 'mount'. 2. Scale also means 'plate' or 'flake'.
171,Level 2,"(group, society) (weapon, stick)",CONTENT,PARK,CLUB,GRAVE,LEAD,C,The word 'CLUB' links the two pairs. 1. Club means 'group' or 'society'. 2. Club also means 'weapon' or 'stick'.
172,Level 2,"(lengthy, extended) (desire, wish)",YARD,RASH,JERK,GRATE,LONG,E,The word 'LONG' links the two pairs. 1. Long means 'lengthy' or 'extended'. 2. Long also means 'desire' or 'wish'.
173,Level 2,"(dossier, record) (scrape, smooth)",POUND,BAT,WATCH,FILE,BARK,D,The word 'FILE' links the two pairs. 1. File means 'dossier' or 'record'. 2. File also means 'scrape' or 'smooth'.
174,Level 2,"(lengthy, tall) (desire, yearn)",JAM,OBJECT,SCALE,INVALID,LONG,E,The word 'LONG' links the two pairs. 1. Long means 'lengthy' or 'tall'. 2. Long also means 'desire' or 'yearn'.
175,Level 2,"(sick, sufferer) (calm, tolerant)",PATIENT,SEASON,TRIP,MINUTE,STEEP,A,The word 'PATIENT' links the two pairs. 1. Patient means 'sick' or 'sufferer'. 2. Patient also means 'calm' or 'tolerant'.
176,Level 2,"(leaf, herb) (fresh, perfect)",MINT,PARK,SINK,JERK,CONTRACT,A,The word 'MINT' links the two pairs. 1. Mint means 'leaf' or 'herb'. 2. Mint also means 'fresh' or 'perfect'.
177,Level 2,"(lock, secure) (run, dash)",BOLT,TENDER,PLAY,FINE,SINK,A,The word 'BOLT' links the two pairs. 1. Bolt means 'lock' or 'secure'. 2. Bolt also means 'run' or 'dash'.
178,Level 2,"(grind, scrape) (basket, hearth)",WAVE,GRAVE,GRATE,RASH,RACKET,C,The word 'GRATE' links the two pairs. 1. Grate means 'grind' or 'scrape'. 2. Grate also means 'basket' or 'hearth'.
179,Level 2,"(lake, pond) (merge, share)",YARD,STERN,POOL,PRESENT,RASH,C,The word 'POOL' links the two pairs. 1. Pool means 'lake' or 'pond'. 2. Pool also means 'merge' or 'share'.
180,Level 2,"(association, group) (stick, baton)",WATCH,CLUB,GRAVE,ROCK,PATIENT,B,The word 'CLUB' links the two pairs. 1. Club means 'association' or 'group'. 2. Club also means 'stick' or 'baton'.
181,Level 2,"(sufferer, sick) (tolerant, calm)",RACKET,QUAIL,FAIR,CONTRACT,PATIENT,E,The word 'PATIENT' links the two pairs. 1. Patient means 'sufferer' or 'sick'. 2. Patient also means 'tolerant' or 'calm'.
182,Level 2,"(equal, just) (carnival, fete)",RASH,FAIR,BARK,RING,PRESENT,B,The word 'FAIR' links the two pairs. 1. Fair means 'equal' or 'just'. 2. Fair also means 'carnival' or 'fete'.
183,Level 2,"(folder, dossier) (rub, scrape)",INVALID,CONTENT,WATCH,FILE,MINT,D,The word 'FILE' links the two pairs. 1. File means 'folder' or 'dossier'. 2. File also means 'rub' or 'scrape'.
184,Level 2,"(harsh, strict) (back, aft)",STERN,LONG,LEAD,RACKET,GRAVE,A,The word 'STERN' links the two pairs. 1. Stern means 'harsh' or 'strict'. 2. Stern also means 'back' or 'aft'.
185,Level 2,"(hives, eruption) (reckless, careless)",REFUSE,RASH,JERK,MINUTE,WATCH,B,The word 'RASH' links the two pairs. 1. Rash means 'hives' or 'eruption'. 2. Rash also means 'reckless' or 'careless'.
186,Level 2,"(invalid, sick) (enduring, tolerant)",PATIENT,STERN,MATCH,POUND,LONG,A,The word 'PATIENT' links the two pairs. 1. Patient means 'invalid' or 'sick'. 2. Patient also means 'enduring' or 'tolerant'.
187,Level 2,"(sick, sufferer) (calm, enduring)",YARD,PATIENT,WATCH,PARK,MINT,B,The word 'PATIENT' links the two pairs. 1. Patient means 'sick' or 'sufferer'. 2. Patient also means 'calm' or 'enduring'.
188,Level 2,"(leaf, herb) (new, fresh)",MINT,BAT,ROCK,JAM,RING,A,The word 'MINT' links the two pairs. 1. Mint means 'leaf' or 'herb'. 2. Mint also means 'new' or 'fresh'.
189,Level 2,"(secure, lock) (flee, dash)",FAIR,PLAY,BOLT,PARK,GRAVE,C,The word 'BOLT' links the two pairs. 1. Bolt means 'secure' or 'lock'. 2. Bolt also means 'flee' or 'dash'.
190,Level 2,"(cash, money) (hammer, thump)",PARK,PATIENT,POUND,REFUSE,FLY,C,The word 'POUND' links the two pairs. 1. Pound means 'cash' or 'money'. 2. Pound also means 'hammer' or 'thump'.
191,Level 2,"(pull, tug) (dolt, fool)",RING,INVALID,JERK,FAIR,MATCH,C,The word 'JERK' links the two pairs. 1. Jerk means 'pull' or 'tug'. 2. Jerk also means 'dolt' or 'fool'.
192,Level 2,"(record, folder) (scrape, smooth)",STERN,BOLT,REFUSE,JERK,FILE,E,The word 'FILE' links the two pairs. 1. File means 'record' or 'folder'. 2. File also means 'scrape' or 'smooth'.
193,Level 2,"(lengthy, tall) (yearn, wish)",YARD,POOL,SINK,WAVE,LONG,E,The word 'LONG' links the two pairs. 1. Long means 'lengthy' or 'tall'. 2. Long also means 'yearn' or 'wish'.
194,Level 2,"(pull, tug) (dolt, fool)",GRAVE,GRATE,JERK,PLAY,INVALID,C,The word 'JERK' links the two pairs. 1. Jerk means 'pull' or 'tug'. 2. Jerk also means 'dolt' or 'fool'.
195,Level 2,"(extended, tall) (wish, desire)",POOL,BOLT,SCALE,LONG,RING,D,The word 'LONG' links the two pairs. 1. Long means 'extended' or 'tall'. 2. Long also means 'wish' or 'desire'.
196,Level 2,"(spots, eruption) (hasty, careless)",BAT,ROCK,CONTENT,RASH,TENDER,D,The word 'RASH' links the two pairs. 1. Rash means 'spots' or 'eruption'. 2. Rash also means 'hasty' or 'careless'.
197,Level 2,"(now, present) (stream, flow)",FAN,LEAD,CONTENT,POUND,CURRENT,E,The word 'CURRENT' links the two pairs. 1. Current means 'now' or 'present'. 2. Current also means 'stream' or 'flow'.
198,Level 2,"(folder, dossier) (rub, scrape)",ROCK,FILE,PLAY,STEEP,MINUTE,B,The word 'FILE' links the two pairs. 1. File means 'folder' or 'dossier'. 2. File also means 'rub' or 'scrape'.
199,Level 2,"(ascend, climb) (plate, flake)",RING,SCALE,SINK,STEEP,SEASON,B,The word 'SCALE' links the two pairs. 1. Scale means 'ascend' or 'climb'. 2. Scale also means 'plate' or 'flake'.
200,Level 2,"(lock, fasten) (flee, dash)",GRATE,CONTRACT,BARK,RING,BOLT,E,The word 'BOLT' links the two pairs. 1. Bolt means 'lock' or 'fasten'. 2. Bolt also means 'flee' or 'dash'.
201,Level 3,"(term, period) (herb, spice)",JERK,FLY,ROCK,BARK,SEASON,E,The word 'SEASON' links the two pairs. 1. Season means 'term' or 'period'. 2. Season also means 'herb' or 'spice'.
202,Level 3,"(fowl, game) (cower, shrink)",MINT,GRATE,FAIR,QUAIL,SINK,D,The word 'QUAIL' links the two pairs. 1. Quail means 'fowl' or 'game'. 2. Quail also means 'cower' or 'shrink'.
203,Level 3,"(item, article) (argue, oppose)",CLUB,OBJECT,STERN,CONTRACT,PLAY,B,The word 'OBJECT' links the two pairs. 1. Object means 'item' or 'article'. 2. Object also means 'argue' or 'oppose'.
204,Level 3,"(donation, gift) (exist, here)",POUND,MINUTE,PRESENT,SEASON,CONTRACT,C,The word 'PRESENT' links the two pairs. 1. Present means 'donation' or 'gift'. 2. Present also means 'exist' or 'here'.
205,Level 3,"(fowl, game) (shrink, recoil)",SCALE,MINUTE,QUAIL,FILE,RACKET,C,The word 'QUAIL' links the two pairs. 1. Quail means 'fowl' or 'game'. 2. Quail also means 'shrink' or 'recoil'.
206,Level 3,"(tomb, crypt) (serious, somber)",MATCH,FINE,GRAVE,ROCK,RACKET,C,The word 'GRAVE' links the two pairs. 1. Grave means 'tomb' or 'crypt'. 2. Grave also means 'serious' or 'somber'.
207,Level 3,"(bid, offer) (sore, sensitive)",TENDER,REFUSE,CONTRACT,STEEP,FAIR,A,The word 'TENDER' links the two pairs. 1. Tender means 'bid' or 'offer'. 2. Tender also means 'sore' or 'sensitive'.
208,Level 3,"(time, term) (herb, flavour)",TENDER,JERK,SEASON,STERN,RACKET,C,The word 'SEASON' links the two pairs. 1. Season means 'time' or 'term'. 2. Season also means 'herb' or 'flavour'.
209,Level 3,"(propose, offer) (sore, painful)",SEASON,PATIENT,TENDER,LEAD,LONG,C,The word 'TENDER' links the two pairs. 1. Tender means 'propose' or 'offer'. 2. Tender also means 'sore' or 'painful'.
210,Level 3,"(void, null) (sick, unwell)",GRATE,POUND,INVALID,TRIP,CURRENT,C,The word 'INVALID' links the two pairs. 1. Invalid means 'void' or 'null'. 2. Invalid also means 'sick' or 'unwell'.
211,Level 3,"(propose, offer) (sensitive, sore)",PARK,TENDER,FINE,JERK,SCALE,B,The word 'TENDER' links the two pairs. 1. Tender means 'propose' or 'offer'. 2. Tender also means 'sensitive' or 'sore'.
212,Level 3,"(vault, crypt) (serious, solemn)",GRAVE,FAIR,REFUSE,STEEP,FLY,A,The word 'GRAVE' links the two pairs. 1. Grave means 'vault' or 'crypt'. 2. Grave also means 'serious' or 'solemn'.
213,Level 3,"(offer, bid) (sensitive, sore)",JAM,MINUTE,SEASON,TENDER,INVALID,D,The word 'TENDER' links the two pairs. 1. Tender means 'offer' or 'bid'. 2. Tender also means 'sensitive' or 'sore'.
214,Level 3,"(offering, donation) (exist, here)",JAM,PRESENT,BOLT,OBJECT,ROCK,B,The word 'PRESENT' links the two pairs. 1. Present means 'offering' or 'donation'. 2. Present also means 'exist' or 'here'.
215,Level 3,"(bird, fowl) (shrink, recoil)",SEASON,GRAVE,FAIR,PARK,QUAIL,E,The word 'QUAIL' links the two pairs. 1. Quail means 'bird' or 'fowl'. 2. Quail also means 'shrink' or 'recoil'.
216,Level 3,"(paddle, bat) (uproar, noise)",STERN,RACKET,INVALID,MINUTE,SEASON,B,The word 'RACKET' links the two pairs. 1. Racket means 'paddle' or 'bat'. 2. Racket also means 'uproar' or 'noise'.
217,Level 3,"(crypt, tomb) (somber, solemn)",FAIR,FAN,GRAVE,PARK,STEEP,C,The word 'GRAVE' links the two pairs. 1. Grave means 'crypt' or 'tomb'. 2. Grave also means 'somber' or 'solemn'.
218,Level 3,"(offering, gift) (here, exist)",PRESENT,FILE,FAN,FINE,QUAIL,A,The word 'PRESENT' links the two pairs. 1. Present means 'offering' or 'gift'. 2. Present also means 'here' or 'exist'.
219,Level 3,"(bid, offer) (painful, sensitive)",MINT,PLAY,PARK,POOL,TENDER,E,The word 'TENDER' links the two pairs. 1. Tender means 'bid' or 'offer'. 2. Tender also means 'painful' or 'sensitive'.
220,Level 3,"(soak, drench) (abrupt, sharp)",SINK,TRIP,CLUB,STEEP,CURRENT,D,The word 'STEEP' links the two pairs. 1. Steep means 'soak' or 'drench'. 2. Steep also means 'abrupt' or 'sharp'.
221,Level 3,"(void, null) (unwell, ill)",CLUB,MATCH,FINE,WAVE,INVALID,E,The word 'INVALID' links the two pairs. 1. Invalid means 'void' or 'null'. 2. Invalid also means 'unwell' or 'ill'.
222,Level 3,"(soak, drench) (high, abrupt)",WATCH,STEEP,BARK,TENDER,LEAD,B,The word 'STEEP' links the two pairs. 1. Steep means 'soak' or 'drench'. 2. Steep also means 'high' or 'abrupt'.
223,Level 3,"(shrink, narrow) (deal, treaty)",MATCH,SCALE,STEEP,FAIR,CONTRACT,E,The word 'CONTRACT' links the two pairs. 1. Contract means 'shrink' or 'narrow'. 2. Contract also means 'deal' or 'treaty'.
224,Level 3,"(term, time) (spice, flavour)",SEASON,BARK,MINT,GRAVE,QUAIL,A,The word 'SEASON' links the two pairs. 1. Season means 'term' or 'time'. 2. Season also means 'spice' or 'flavour'.
225,Level 3,"(reduce, shrink) (treaty, agreement)",PATIENT,RING,CLUB,TENDER,CONTRACT,E,The word 'CONTRACT' links the two pairs. 1. Contract means 'reduce' or 'shrink'. 2. Contract also means 'treaty' or 'agreement'.
226,Level 3,"(propose, bid) (sensitive, painful)",YARD,TENDER,OBJECT,GRATE,STEEP,B,The word 'TENDER' links the two pairs. 1. Tender means 'propose' or 'bid'. 2. Tender also means 'sensitive' or 'painful'.
227,Level 3,"(microscopic, small) (instant, moment)",RING,GRAVE,FILE,RACKET,MINUTE,E,The word 'MINUTE' links the two pairs. 1. Minute means 'microscopic' or 'small'. 2. Minute also means 'instant' or 'moment'.
228,Level 3,"(pilot, direct) (metal, weight)",CURRENT,PRESENT,CONTENT,LEAD,CONTRACT,D,The word 'LEAD' links the two pairs. 1. Lead means 'pilot' or 'direct'. 2. Lead also means 'metal' or 'weight'.
229,Level 3,"(club, paddle) (din, noise)",BAT,MINUTE,CONTENT,RACKET,JAM,D,The word 'RACKET' links the two pairs. 1. Racket means 'club' or 'paddle'. 2. Racket also means 'din' or 'noise'.
230,Level 3,"(crypt, tomb) (somber, solemn)",FAIR,MINUTE,FINE,GRAVE,RING,D,The word 'GRAVE' links the two pairs. 1. Grave means 'crypt' or 'tomb'. 2. Grave also means 'somber' or 'solemn'.
231,Level 3,"(satisfied, happy) (subject, matter)",OBJECT,INVALID,MINT,CONTENT,BAT,D,The word 'CONTENT' links the two pairs. 1. Content means 'satisfied' or 'happy'. 2. Content also means 'subject' or 'matter'.
232,Level 3,"(microscopic, tiny) (instant, second)",SEASON,FINE,MINUTE,CURRENT,SCALE,C,The word 'MINUTE' links the two pairs. 1. Minute means 'microscopic' or 'tiny'. 2. Minute also means 'instant' or 'second'.
233,Level 3,"(shrink, narrow) (agreement, treaty)",CONTRACT,TENDER,POUND,STERN,FILE,A,The word 'CONTRACT' links the two pairs. 1. Contract means 'shrink' or 'narrow'. 2. Contract also means 'agreement' or 'treaty'.
234,Level 3,"(small, microscopic) (second, moment)",PRESENT,MINUTE,CONTENT,CLUB,SINK,B,The word 'MINUTE' links the two pairs. 1. Minute means 'small' or 'microscopic'. 2. Minute also means 'second' or 'moment'.
235,Level 3,"(microscopic, small) (instant, moment)",BOLT,FAN,TRIP,MINUTE,PRESENT,D,The word 'MINUTE' links the two pairs. 1. Minute means 'microscopic' or 'small'. 2. Minute also means 'instant' or 'moment'.
236,Level 3,"(offering, donation) (exist, attend)",RASH,FILE,JAM,PRESENT,BOLT,D,The word 'PRESENT' links the two pairs. 1. Present means 'offering' or 'donation'. 2. Present also means 'exist' or 'attend'.
237,Level 3,"(tomb, vault) (solemn, serious)",RACKET,GRAVE,CONTRACT,POUND,FINE,B,The word 'GRAVE' links the two pairs. 1. Grave means 'tomb' or 'vault'. 2. Grave also means 'solemn' or 'serious'.
238,Level 3,"(crypt, vault) (serious, solemn)",OBJECT,LEAD,SEASON,BARK,GRAVE,E,The word 'GRAVE' links the two pairs. 1. Grave means 'crypt' or 'vault'. 2. Grave also means 'serious' or 'solemn'.
239,Level 3,"(bird, game) (shrink, recoil)",LEAD,GRATE,QUAIL,FILE,STEEP,C,The word 'QUAIL' links the two pairs. 1. Quail means 'bird' or 'game'. 2. Quail also means 'shrink' or 'recoil'.
240,Level 3,"(pilot, guide) (metal, element)",MINT,GRAVE,LEAD,RACKET,QUAIL,C,The word 'LEAD' links the two pairs. 1. Lead means 'pilot' or 'guide'. 2. Lead also means 'metal' or 'element'.
241,Level 3,"(satisfied, happy) (subject, topic)",MATCH,RING,INVALID,PATIENT,CONTENT,E,The word 'CONTENT' links the two pairs. 1. Content means 'satisfied' or 'happy'. 2. Content also means 'subject' or 'topic'.
242,Level 3,"(period, time) (spice, herb)",WATCH,YARD,STEEP,SINK,SEASON,E,The word 'SEASON' links the two pairs. 1. Season means 'period' or 'time'. 2. Season also means 'spice' or 'herb'.
243,Level 3,"(vault, tomb) (solemn, serious)",GRAVE,FAIR,INVALID,RASH,TRIP,A,The word 'GRAVE' links the two pairs. 1. Grave means 'vault' or 'tomb'. 2. Grave also means 'solemn' or 'serious'.
244,Level 3,"(gift, offering) (here, attend)",YARD,STERN,WAVE,TRIP,PRESENT,E,The word 'PRESENT' links the two pairs. 1. Present means 'gift' or 'offering'. 2. Present also means 'here' or 'attend'.
245,Level 3,"(period, term) (spice, flavour)",CONTRACT,REFUSE,CLUB,SEASON,PATIENT,D,The word 'SEASON' links the two pairs. 1. Season means 'period' or 'term'. 2. Season also means 'spice' or 'flavour'.
246,Level 3,"(small, tiny) (second, moment)",FAIR,REFUSE,BAT,FILE,MINUTE,E,The word 'MINUTE' links the two pairs. 1. Minute means 'small' or 'tiny'. 2. Minute also means 'second' or 'moment'.
247,Level 3,"(void, false) (unwell, sick)",INVALID,POOL,CONTRACT,WATCH,TRIP,A,The word 'INVALID' links the two pairs. 1. Invalid means 'void' or 'false'. 2. Invalid also means 'unwell' or 'sick'.
248,Level 3,"(propose, offer) (painful, sore)",JAM,STERN,PARK,JERK,TENDER,E,The word 'TENDER' links the two pairs. 1. Tender means 'propose' or 'offer'. 2. Tender also means 'painful' or 'sore'.
249,Level 3,"(rubbish, waste) (decline, reject)",LEAD,REFUSE,GRAVE,FILE,FAIR,B,The word 'REFUSE' links the two pairs. 1. Refuse means 'rubbish' or 'waste'. 2. Refuse also means 'decline' or 'reject'.
250,Level 3,"(tiny, microscopic) (second, moment)",ROCK,CURRENT,MINUTE,MATCH,PRESENT,C,The word 'MINUTE' links the two pairs. 1. Minute means 'tiny' or 'microscopic'. 2. Minute also means 'second' or 'moment'.
251,Level 3,"(null, void) (unwell, sick)",INVALID,CONTENT,FAN,FINE,OBJECT,A,The word 'INVALID' links the two pairs. 1. Invalid means 'null' or 'void'. 2. Invalid also means 'unwell' or 'sick'.
252,Level 3,"(game, bird) (shrink, cower)",REFUSE,WATCH,JERK,STEEP,QUAIL,E,The word 'QUAIL' links the two pairs. 1. Quail means 'game' or 'bird'. 2. Quail also means 'shrink' or 'cower'.
253,Level 3,"(trash, rubbish) (decline, reject)",REFUSE,INVALID,POOL,MATCH,FAIR,A,The word 'REFUSE' links the two pairs. 1. Refuse means 'trash' or 'rubbish'. 2. Refuse also means 'decline' or 'reject'.
254,Level 3,"(false, null) (ill, unwell)",POOL,CURRENT,TRIP,INVALID,BARK,D,The word 'INVALID' links the two pairs. 1. Invalid means 'false' or 'null'. 2. Invalid also means 'ill' or 'unwell'.
255,Level 3,"(null, void) (sick, ill)",PARK,GRATE,SINK,CURRENT,INVALID,E,The word 'INVALID' links the two pairs. 1. Invalid means 'null' or 'void'. 2. Invalid also means 'sick' or 'ill'.
256,Level 3,"(reduce, narrow) (agreement, deal)",PRESENT,CONTRACT,ROCK,MINT,SINK,B,The word 'CONTRACT' links the two pairs. 1. Contract means 'reduce' or 'narrow'. 2. Contract also means 'agreement' or 'deal'.
257,Level 3,"(guide, direct) (weight, metal)",RING,BARK,LEAD,PLAY,RACKET,C,The word 'LEAD' links the two pairs. 1. Lead means 'guide' or 'direct'. 2. Lead also means 'weight' or 'metal'.
258,Level 3,"(microscopic, tiny) (instant, second)",CONTENT,TRIP,QUAIL,BARK,MINUTE,E,The word 'MINUTE' links the two pairs. 1. Minute means 'microscopic' or 'tiny'. 2. Minute also means 'instant' or 'second'.
259,Level 3,"(drench, soak) (abrupt, sharp)",MINT,OBJECT,SINK,JERK,STEEP,E,The word 'STEEP' links the two pairs. 1. Steep means 'drench' or 'soak'. 2. Steep also means 'abrupt' or 'sharp'.
260,Level 3,"(item, article) (oppose, argue)",OBJECT,SINK,FINE,POUND,PLAY,A,The word 'OBJECT' links the two pairs. 1. Object means 'item' or 'article'. 2. Object also means 'oppose' or 'argue'.
261,Level 3,"(drench, marinate) (abrupt, high)",STEEP,MATCH,MINUTE,TRIP,MINT,A,The word 'STEEP' links the two pairs. 1. Steep means 'drench' or 'marinate'. 2. Steep also means 'abrupt' or 'high'.
262,Level 3,"(bird, game) (shrink, recoil)",QUAIL,FILE,CONTENT,RING,BARK,A,The word 'QUAIL' links the two pairs. 1. Quail means 'bird' or 'game'. 2. Quail also means 'shrink' or 'recoil'.
263,Level 3,"(club, paddle) (uproar, noise)",WATCH,WAVE,RACKET,CONTRACT,FLY,C,The word 'RACKET' links the two pairs. 1. Racket means 'club' or 'paddle'. 2. Racket also means 'uproar' or 'noise'.
