id,question,Option A,Option B,Option C,Option D,Option E,correct answer,difficulty
LC_355,IW is to NQ as QO is to [?],VU,WJ,VI,LU,KT,C,4
LC_356,BZ is to HT as WX is to [?],HA,CD,DS,QD,CR,E,4
LC_357,FD is to KX as BP is to [?],VU,HK,GV,WV,GJ,E,4
LC_358,SW is to XD as PA is to [?],UH,UT,VI,WF,KT,A,4
LC_359,BJ is to HD as LB is to [?],RH,YA,SW,FH,RV,E,4
LC_360,UC is to AH as CF is to [?],IK,IA,WA,JL,HL,A,4
LC_361,UX is to HU as EO is to [?],RL,JU,RR,SM,BB,A,5
LC_362,JA is to VF as LS is to [?],ZN,XN,XX,YY,QE,C,5
LC_363,NR is to XO as WK is to [?],GH,HI,GN,MN,TU,A,5
LC_364,QH is to AP as FP is to [?],QY,PX,VH,NZ,PH,B,5
LC_365,RT is to HB as JE is to [?],TW,ZM,AN,RU,ZW,B,5
LC_366,CT is to MB as ZI is to [?],HS,PA,JQ,KR,JA,C,5
LC_367,HP is to SM as TG is to [?],QR,IJ,EJ,FE,ED,E,5
LC_368,SA is to EX as LB is to [?],IN,XY,XE,YZ,ZE,B,5
LC_369,SV is to DT as AU is to [?],LS,MT,YF,LW,PW,A,5
LC_370,KG is to AE as WT is to [?],GV,NS,UJ,MV,MR,E,5
LC_371,TM is to GJ as XF is to [?],KC,US,KI,LM,LD,A,5
LC_372,LW is to YB as PG is to [?],CL,DM,CB,UJ,UT,A,5
LC_373,YO is to LW as RN is to [?],ZA,BT,EF,FW,EV,E,5
LC_374,OL is to BI as PL is to [?],CO,CI,MI,MY,DJ,B,5
LC_375,GX is to RU as MU is to [?],YS,JF,BX,XR,XX,D,5
LC_376,JS is to ZP as XR is to [?],NU,UH,HU,OP,NO,E,5
LC_377,CF is to OD as CD is to [?],PC,AP,OB,OF,QF,C,5
LC_378,BM is to MJ as QR is to [?],CP,BO,FU,NC,BU,B,5
LC_379,QF is to CK as UR is to [?],GW,IM,HX,GM,ZD,A,5
LC_380,NB is to ZZ as VF is to [?],HD,JH,TR,HH,IE,A,5
LC_381,LZ is to VX as LX is to [?],WW,BZ,VZ,VV,JH,D,5
LC_382,EX is to OF as HW is to [?],XO,RE,RO,SF,PG,B,5
LC_383,RI is to HF as ZX is to [?],WN,QV,JA,PA,PU,E,5
LC_384,OL is to YT as TK is to [?],DS,ET,JC,BU,DC,A,5
LC_385,EA is to RI as QN is to [?],YA,DF,DK,EW,DV,E,5
LC_386,YR is to LO as MP is to [?],JC,ZS,XX,AN,ZM,E,5
LC_387,SC is to IH as ED is to [?],JT,VJ,UY,OY,UI,E,5
LC_388,VV is to LA as AV is to [?],RB,QA,FL,KQ,QQ,B,5
LC_389,YD is to JI as CG is to [?],HR,RB,NL,NB,OM,C,5
LC_390,ZM is to KJ as EL is to [?],BW,QJ,PI,TO,PO,C,5
LC_391,JL is to VJ as TD is to [?],HF,GC,FB,RP,FF,C,5
LC_392,UB is to GG as HB is to [?],TW,MN,TG,UH,VW,C,5
LC_393,PH is to FP as PR is to [?],XH,ZJ,FZ,FJ,GA,C,5
LC_394,AZ is to QW as FP is to [?],VS,WN,PS,CF,VM,E,5
LC_395,UY is to HV as JU is to [?],GH,XS,AE,WR,WX,D,5
LC_396,KO is to VW as FY is to [?],QQ,QG,RH,UQ,NJ,B,5
LC_397,HB is to RJ as TR is to [?],EA,BB,DJ,JJ,DZ,E,5
LC_398,MR is to XZ as MV is to [?],BN,XD,XN,YE,UG,B,5
LC_399,BW is to LU as FD is to [?],VF,PB,DN,PF,QC,B,5
LC_400,UK is to EI as OV is to [?],ZU,EX,YX,MF,YT,E,5
