id,question_text,pair1,pair2,option_A,option_B,option_C,option_D,option_E,answer
266,"(rough, coarse) (harsh, severe)","(rough, coarse)","(harsh, severe)",hard,stern,gruff,rude,low,gruff
267,"(broad, wide) (loose, large)","(broad, wide)","(loose, large)",big,vast,full,great,main,full
268,"(firm, fixed) (secure, stable)","(firm, fixed)","(secure, stable)",steady,sure,fast,tight,hard,fast
269,"(pure, mere) (simple, plain)","(pure, mere)","(simple, plain)",only,clear,bare,just,naked,bare
270,"(solid, hard) (firm, tough)","(solid, hard)","(firm, tough)",rigid,strong,stiff,fixed,thick,stiff
271,"(sheer, pure) (total, utter)","(sheer, pure)","(total, utter)",clean,mere,clear,full,just,clear
272,"(fine, thin) (small, slight)","(fine, thin)","(small, slight)",little,minor,light,weak,low,light
273,"(rough, harsh) (tough, hard)","(rough, harsh)","(tough, hard)",severe,firm,stern,sharp,cruel,stern
274,"(broad, wide) (open, frank)","(broad, wide)","(open, frank)",vast,easy,free,clear,plain,free
275,"(firm, solid) (steady, fixed)","(firm, solid)","(steady, fixed)",stable,sure,fast,tight,hard,fast
276,"(pure, clean) (trim, neat)","(pure, clean)","(trim, neat)",clear,fine,smart,good,fresh,smart
277,"(solid, sturdy) (tough, hard)","(solid, sturdy)","(tough, hard)",firm,brave,strong,fixed,stiff,strong
278,"(sheer, steep) (sharp, abrupt)","(sheer, steep)","(sharp, abrupt)",cliff,rough,bluff,short,stern,bluff
279,"(fine, clear) (fair, bright)","(fine, clear)","(fair, bright)",good,sun,light,pale,thin,light
280,"(rough, coarse) (harsh, severe)","(rough, coarse)","(harsh, severe)",hard,stern,gruff,rude,low,gruff
281,"(broad, wide) (loose, large)","(broad, wide)","(loose, large)",big,vast,full,great,main,full
282,"(firm, fixed) (secure, stable)","(firm, fixed)","(secure, stable)",steady,sure,fast,tight,hard,fast
283,"(pure, mere) (simple, plain)","(pure, mere)","(simple, plain)",only,clear,bare,just,naked,bare
284,"(solid, hard) (firm, tough)","(solid, hard)","(firm, tough)",rigid,strong,stiff,fixed,thick,stiff
285,"(sheer, pure) (total, utter)","(sheer, pure)","(total, utter)",clean,mere,clear,full,just,clear
286,"(fine, thin) (small, slight)","(fine, thin)","(small, slight)",little,minor,light,weak,low,light
287,"(rough, harsh) (tough, hard)","(rough, harsh)","(tough, hard)",severe,firm,stern,sharp,cruel,stern
288,"(broad, wide) (open, frank)","(broad, wide)","(open, frank)",vast,easy,free,clear,plain,free
289,"(firm, solid) (steady, fixed)","(firm, solid)","(steady, fixed)",stable,sure,fast,tight,hard,fast
290,"(pure, clean) (trim, neat)","(pure, clean)","(trim, neat)",clear,fine,smart,good,fresh,smart
291,"(solid, sturdy) (tough, hard)","(solid, sturdy)","(tough, hard)",firm,brave,strong,fixed,stiff,strong
292,"(sheer, steep) (sharp, abrupt)","(sheer, steep)","(sharp, abrupt)",cliff,rough,bluff,short,stern,bluff
293,"(fine, clear) (fair, bright)","(fine, clear)","(fair, bright)",good,sun,light,pale,thin,light
294,"(rough, coarse) (harsh, severe)","(rough, coarse)","(harsh, severe)",hard,stern,gruff,rude,low,gruff
295,"(broad, wide) (loose, large)","(broad, wide)","(loose, large)",big,vast,full,great,main,full
296,"(firm, fixed) (secure, stable)","(firm, fixed)","(secure, stable)",steady,sure,fast,tight,hard,fast
297,"(pure, mere) (simple, plain)","(pure, mere)","(simple, plain)",only,clear,bare,just,naked,bare
298,"(solid, hard) (firm, tough)","(solid, hard)","(firm, tough)",rigid,strong,stiff,fixed,thick,stiff
299,"(sheer, pure) (total, utter)","(sheer, pure)","(total, utter)",clean,mere,clear,full,just,clear
300,"(fine, thin) (small, slight)","(fine, thin)","(small, slight)",little,minor,light,weak,low,light
