ID,Question,A,B,C,D,E,Correct Answer,Explanation
M3L_217,Sweet GE.,OUR,CAD,MAY,FUD,AIM,D,The missing letters are FUD (FUDGE).
M3L_218,Wobbly JY.,ATE,PAD,ART,NET,ELL,E,The missing letters are ELL (JELLY).
M3L_219,Rice PUDD.,LAD,ING,BIG,HAG,THE,B,The missing letters are ING (PUDDING).
M3L_220,Sweet SERT.,HAY,DES,TRY,OUS,BOX,B,The missing letters are DES (DESSERT).
M3L_221,Sit at the TE.,FIT,WAY,PAT,ABL,SAG,D,The missing letters are ABL (TABLE).
M3L_222,Sit on the CH.,IVE,SAT,AGE,ATE,AIR,E,The missing letters are AIR (CHAIR).
M3L_223,Sit on the A.,SOF,DAY,HAG,YAK,DOT,A,The missing letters are SOF (SOFA).
M3L_224,Sit on a OL.,LOO,RAY,OAT,EVE,STO,E,The missing letters are STO (STOOL).
M3L_225,Park CH.,BET,SKY,ACT,BEN,POT,D,The missing letters are BEN (BENCH).
M3L_226,School K.,DES,PAT,OUS,MAY,INK,A,The missing letters are DES (DESK).
M3L_227,Book SF.,ASK,HEL,ARM,OWL,OUR,B,The missing letters are HEL (SHELF).
M3L_228,In the CUARD.,IVE,PBO,SPY,OWN,FAD,B,The missing letters are PBO (CUPBOARD).
M3L_229,In the DRR.,ILL,INN,ION,AWE,RED,D,The missing letters are AWE (DRAWER).
M3L_230,Turn on the P.,FLY,VET,EYE,TOO,LAM,E,The missing letters are LAM (LAMP).
M3L_231,Bright LI.,ONE,GAY,GHT,LOT,RUN,C,The missing letters are GHT (LIGHT).
M3L_232,Light B.,SKY,FAD,POT,BUL,RUN,D,The missing letters are BUL (BULB).
M3L_233,Light SWI.,TAD,WIT,FLY,TCH,MAT,D,The missing letters are TCH (SWITCH).
M3L_234,Electric P.,LUG,APE,KIT,EAR,OPT,A,The missing letters are LUG (PLUG).
M3L_235,Wall SET.,DRY,FEE,URN,HIT,OCK,E,The missing letters are OCK (SOCKET).
M3L_236,Electric E.,WIR,EEL,ROT,OUS,LAG,A,The missing letters are WIR (WIRE).
M3L_237,New BATY.,TER,BEE,EAR,JAY,TOY,A,The missing letters are TER (BATTERY).
M3L_238,Flash TO.,ARK,RCH,SAD,RED,AIM,B,The missing letters are RCH (TORCH).
M3L_239,Alarm CL.,OCK,JET,ASH,MAG,COO,A,The missing letters are OCK (CLOCK).
M3L_240,Wrist WH.,MET,HAD,OLD,BIT,ATC,E,The missing letters are ATC (WATCH).
M3L_241,Mobile PE.,HON,OUT,YET,OWL,ICE,A,The missing letters are HON (PHONE).
M3L_242,Listen to the RO.,ADI,IVY,TRY,LIT,SAT,A,The missing letters are ADI (RADIO).
M3L_243,Watch EVISION.,GAY,AND,NAG,TEL,FOR,D,The missing letters are TEL (TELEVISION).
M3L_244,Use the CUTER.,HAY,ENT,ICE,GAY,OMP,E,The missing letters are OMP (COMPUTER).
M3L_245,Touch SEN.,DOT,MAN,CRE,BIG,BAY,C,The missing letters are CRE (SCREEN).
M3L_246,Type on the KOARD.,EYB,ADO,PAD,YET,DOG,A,The missing letters are EYB (KEYBOARD).
M3L_247,Click the SE.,JOY,ART,FRY,MOU,GAG,D,The missing letters are MOU (MOUSE).
M3L_248,Inkjet PTER.,RIN,BIG,PAD,LAD,ONE,A,The missing letters are RIN (PRINTER).
M3L_249,Open the LAP.,ACE,NET,AID,PTO,ZOO,D,The missing letters are PTO (LAPTOP).
M3L_250,Use the LET.,FEE,TAB,RAD,PAY,GAY,B,The missing letters are TAB (TABLET).
M3L_251,Take a photo with the CAA.,WAY,OUS,MAD,MAT,MER,E,The missing letters are MER (CAMERA).
M3L_252,Watch a VI.,AIM,ION,OAR,PAD,DEO,E,The missing letters are DEO (VIDEO).
M3L_253,Listen to IC.,OUT,AIR,MUS,OPT,OIL,C,The missing letters are MUS (MUSIC).
M3L_254,Sing a S.,ONE,SIT,ONG,BAD,RUN,C,The missing letters are ONG (SONG).
M3L_255,Do a DA.,NCE,TOP,EVE,ING,GAG,A,The missing letters are NCE (DANCE).
M3L_256,Read a B.,INN,OOK,BIG,OUT,ORB,B,The missing letters are OOK (BOOK).
M3L_257,Write on ER.,OUT,USE,PAP,AIM,ALL,C,The missing letters are PAP (PAPER).
M3L_258,Sharp PIL.,INN,ENC,RED,PAD,ARK,B,The missing letters are ENC (PENCIL).
M3L_259,Eraser RER.,SAG,UBB,AIM,RAG,LOO,B,The missing letters are UBB (RUBBER).
M3L_260,Measure with a RR.,ULE,WIT,AND,EAT,ONE,A,The missing letters are ULE (RULER).
M3L_261,Cut with SCORS.,ISS,EAT,WHY,JAY,LAD,A,The missing letters are ISS (SCISSORS).
M3L_262,Stick with G.,AGE,EAR,RAG,EAT,LUE,E,The missing letters are LUE (GLUE).
M3L_263,Wet NT.,PIT,AND,ORB,OFF,PAI,E,The missing letters are PAI (PAINT).
M3L_264,Paint BR.,USH,TEE,OPT,PIT,ILL,A,The missing letters are USH (BRUSH).
M3L_265,Wax YON.,BAT,CRA,WAG,SIT,OLD,B,The missing letters are CRA (CRAYON).
M3L_266,White CK.,SIT,PAT,VET,APE,HAL,E,The missing letters are HAL (CHALK).
M3L_267,Black RD.,OUT,BOA,WIT,POT,SIT,B,The missing letters are BOA (BOARD).
M3L_268,World GL.,BAT,AGE,PRY,SUN,OBE,E,The missing letters are OBE (GLOBE).
M3L_269,Map AS.,BOO,ENT,ATE,BAD,TLA,E,The missing letters are TLA (ATLAS).
M3L_270,Look it up in the DICNARY.,TIO,TAD,LOO,BY,HAY,A,The missing letters are TIO (DICTIONARY).
M3L_271,Borrow books from the LIBY.,RAR,BEE,WIT,OLD,OUS,A,The missing letters are RAR (LIBRARY).
M3L_272,Go to SS.,OPT,PAT,CLA,OUT,MAY,C,The missing letters are CLA (CLASS).
M3L_273,Clean your M.,CAN,ATE,ART,ROO,TAD,D,The missing letters are ROO (ROOM).
M3L_274,School L.,HAL,IVE,BIG,SIT,PIT,A,The missing letters are HAL (HALL).
M3L_275,Football FI.,ELD,WHY,BOX,VET,AIR,A,The missing letters are ELD (FIELD).
M3L_276,Play in the PLROUND.,BAT,AYG,THE,LEE,ODD,B,The missing letters are AYG (PLAYGROUND).
M3L_277,Go to the K.,TOY,MET,PAR,END,ILL,C,The missing letters are PAR (PARK).
M3L_278,Play on the SG.,COO,AIM,JAY,WIN,HAT,D,The missing letters are WIN (SWING).
M3L_279,Go down the SL.,CAD,JAG,SEE,IDE,YET,D,The missing letters are IDE (SLIDE).
M3L_280,Up and down on the SAW.,EES,THY,BAG,ASK,ACT,A,The missing letters are EES (SEESAW).
M3L_281,Spin on the ROUNOUT.,LOO,ASK,DAB,NEW,ROT,C,The missing letters are DAB (ROUNDABOUT).
M3L_282,Dig in the SPIT.,ENT,RUN,JAG,TOY,AND,E,The missing letters are AND (SANDPIT).
M3L_283,Swim in the P.,RUN,DRY,RAG,OOL,EAT,D,The missing letters are OOL (POOL).
M3L_284,Sandy BE.,ACH,PAT,LIT,ILL,EEL,A,The missing letters are ACH (BEACH).
M3L_285,Deep AN.,WIT,FOX,OCE,EST,GET,C,The missing letters are OCE (OCEAN).
M3L_286,Flowing ER.,RIV,NOT,OWL,JAG,CAN,A,The missing letters are RIV (RIVER).
M3L_287,Big L.,SPY,SET,COT,AKE,EAT,D,The missing letters are AKE (LAKE).
M3L_288,Duck P.,JAG,OND,MAN,URN,MOO,B,The missing letters are OND (POND).
M3L_289,Babbling SAM.,ZOO,ENT,TRE,FOR,ASH,C,The missing letters are TRE (STREAM).
M3L_290,Boat on the CL.,WHY,ANA,OAK,FEE,SUN,B,The missing letters are ANA (CANAL).
M3L_291,Steep L.,HIL,FEE,OIL,AND,MAN,A,The missing letters are HIL (HILL).
M3L_292,High NTAIN.,PRY,INN,MY,MOU,TOO,D,The missing letters are MOU (MOUNTAIN).
M3L_293,Green VEY.,IVE,DAD,ENT,ALL,OUR,D,The missing letters are ALL (VALLEY).
M3L_294,Dark FOR.,EST,LAD,TAG,IRE,SAD,A,The missing letters are EST (FOREST).
M3L_295,Walk in the W.,OOD,VET,CAN,BOO,RAD,A,The missing letters are OOD (WOOD).
M3L_296,Climb a T.,TOO,KAY,OFF,THY,REE,E,The missing letters are REE (TREE).
M3L_297,Green B.,MAT,HAG,ARK,HAY,USH,E,The missing letters are USH (BUSH).
M3L_298,Green GR.,BOY,ASS,RED,IVY,EGO,B,The missing letters are ASS (GRASS).
M3L_299,Pretty WER.,OLD,FLO,ASK,HOT,LET,B,The missing letters are FLO (FLOWER).
M3L_300,Green L.,EAF,OLD,CRY,JET,SET,A,The missing letters are EAF (LEAF).
M3L_301,Tree R.,OOT,FOR,OUT,WIT,SKY,A,The missing letters are OOT (ROOT).
M3L_302,Tree BRH.,YAK,ANC,NET,HIT,TAG,B,The missing letters are ANC (BRANCH).
M3L_303,Flower S.,RED,OAK,LIT,AIR,TEM,E,The missing letters are TEM (STEM).
M3L_304,Rose PE.,EEL,ONE,TAL,ODD,SAD,C,The missing letters are TAL (PETAL).
M3L_305,Sharp TN.,SIT,HOR,PIT,OUS,AID,B,The missing letters are HOR (THORN).
M3L_306,Red R.,THE,OSE,SAT,FOR,SEE,B,The missing letters are OSE (ROSE).
M3L_307,White Y.,KAY,LIL,PAD,FIT,SET,B,The missing letters are LIL (LILY).
M3L_308,Yellow SY.,DAI,HOT,EGG,MAN,ASK,A,The missing letters are DAI (DAISY).
M3L_309,Red TU.,ARM,LIP,LET,JAY,BAD,B,The missing letters are LIP (TULIP).
M3L_310,Red P.,SET,OPP,GAY,LAD,SAY,B,The missing letters are OPP (POPPY).
M3L_311,Tall SUNWER.,FLO,HAG,MET,WET,ODD,A,The missing letters are FLO (SUNFLOWER).
M3L_312,Wet R.,SET,AIN,ASK,OLD,HOT,B,The missing letters are AIN (RAIN).
M3L_313,White W.,EAR,SNO,ODD,OUT,ILL,B,The missing letters are SNO (SNOW).
M3L_314,Strong D.,EVE,AND,SAY,WIN,INN,D,The missing letters are WIN (WIND).
M3L_315,Thunder SM.,ODD,TOR,ILL,JET,CRY,B,The missing letters are TOR (STORM).
M3L_316,Fluffy CUD.,EEL,SET,LOA,TOP,LIT,C,The missing letters are LOA (CLOUD).
M3L_317,Bright N.,ARM,TOP,SU,RUN,JET,C,The missing letters are SU (SUN).
M3L_318,Full M.,MET,OON,BOY,HOT,SEE,B,The missing letters are OON (MOON).
M3L_319,Twinkle S.,TAG,SAT,TAR,HOT,OUS,C,The missing letters are TAR (STAR).
M3L_320,Blue Y.,WET,OUS,SK,AIR,FOR,C,The missing letters are SK (SKY).
M3L_321,Outer SP.,ACE,LET,SIT,HAY,FOR,A,The missing letters are ACE (SPACE).
M3L_322,Planet E.,ARTH,OAK,CRY,ASK,WHY,A,The missing letters are ARTH (EARTH).
M3L_323,The whole RLD.,OFF,HAY,OUS,ENT,WO,E,The missing letters are WO (WORLD).
M3L_324,Live in a T.,RED,OWN,TOP,RUN,OUR,B,The missing letters are OWN (TOWN).
M3L_325,Big C.,ITY,HIT,AIR,WEE,LIT,A,The missing letters are ITY (CITY).
M3L_326,Small VIAGE.,MET,LL,SET,IVY,BAT,B,The missing letters are LL (VILLAGE).
M3L_327,Live in a HO.,AIR,FIT,USE,IVY,THE,C,The missing letters are USE (HOUSE).
M3L_328,Go H.,PIT,OME,HAY,JAY,MAD,B,The missing letters are OME (HOME).
M3L_329,Live in a F.,OAR,LAT,WIT,MAN,SAT,B,The missing letters are LAT (FLAT).
M3L_330,Country TAGE.,COT,PAT,EAT,JAG,WHY,A,The missing letters are COT (COTTAGE).
M3L_331,Old TLE.,CAS,FOR,ARM,IVY,PIT,A,The missing letters are CAS (CASTLE).
M3L_332,Royal PALE.,HAG,AID,CAN,HOT,AC,D,The missing letters are AC (PALACE).
M3L_333,High TR.,EGG,OWE,EEL,MAN,THE,B,The missing letters are OWE (TOWER).
M3L_334,Cross the DGE.,CRY,EGG,ARM,BOO,BRI,E,The missing letters are BRI (BRIDGE).
M3L_335,Walk on the RD.,OA,OLD,MET,FOR,HIT,A,The missing letters are OA (ROAD).
M3L_336,Narrow P.,BIT,ATH,WIT,TOP,LET,B,The missing letters are ATH (PATH).
M3L_337,Country L.,OUS,EGG,ANE,WET,SET,C,The missing letters are ANE (LANE).
M3L_338,Car DR.,NET,IVE,ILL,IVY,AIR,B,The missing letters are IVE (DRIVE).
M3L_339,Which Y?,EGG,WA,ONE,OFF,MAN,B,The missing letters are WA (WAY).
M3L_340,Drive a R.,JAY,CA,SET,BAT,AID,B,The missing letters are CA (CAR).
M3L_341,Ride the S.,WEE,HAG,BU,ILL,SAD,C,The missing letters are BU (BUS).
M3L_342,Catch the TN.,OLD,GAY,CRY,RAI,OAT,D,The missing letters are RAI (TRAIN).
M3L_343,Fly in a NE.,PLA,EGG,CAN,MET,TOO,A,The missing letters are PLA (PLANE).
M3L_344,Sail a S.,HIP,EAR,HAD,PAD,ARM,A,The missing letters are HIP (SHIP).
M3L_345,Row a B.,OAT,ODD,BOY,JOY,HOT,A,The missing letters are OAT (BOAT).
M3L_346,Ride a KE.,ODD,BI,IVY,TAG,OAK,B,The missing letters are BI (BIKE).
M3L_347,Ride a CLE.,WET,MAN,FOR,CY,ONE,D,The missing letters are CY (CYCLE).
M3L_348,Drive a V.,THE,AN,EGG,LET,LIT,B,The missing letters are AN (VAN).
M3L_349,Big LRY.,OUR,LO,OR,HAY,OUT,C,The missing letters are OR (LORRY).
M3L_350,Big TCK.,PAD,SAD,PIT,RU,THE,D,The missing letters are RU (TRUCK).
ID,Question,A,B,C,D,E,Correct Answer,Explanation
M3L_NEW_001,The PARD runs fast.,CRY,LEO,ROT,DAD,TION,B,The missing letters are LEO (LEOPARD).
M3L_NEW_002,A big FALO.,ATE,HAT,BAT,ASH,BUF,E,The missing letters are BUF (BUFFALO).
M3L_NEW_003,Fast CHEE.,BIT,PIT,TAD,YAK,TAH,E,The missing letters are TAH (CHEETAH).
M3L_NEW_004,Tall GIRA.,IVY,EYE,INN,OAR,FFE,E,The missing letters are FFE (GIRAFFE).
M3L_NEW_005,Horned RH.,RAG,BAT,RAT,INO,FEE,D,The missing letters are INO (RHINO).
M3L_NEW_006,Big HO.,ZOO,IPP,ENT,FAT,BY,B,The missing letters are IPP (HIPPO).
M3L_NEW_007,Noisy OON.,BAB,NEW,AND,EVE,GAG,A,The missing letters are BAB (BABOON).
M3L_NEW_008,Desert CA.,SIT,ACE,MAD,ONE,MEL,E,The missing letters are MEL (CAMEL).
M3L_NEW_009,Slow TUE.,URN,NEW,RTL,COO,OWN,C,The missing letters are RTL (TURTLE).
M3L_NEW_010,Green ARD.,JOY,DRY,NAY,LIZ,ATE,D,The missing letters are LIZ (LIZARD).
M3L_NEW_011,Long SE.,NAK,ACT,AID,THE,JAY,A,The missing letters are NAK (SNAKE).
M3L_NEW_012,Ugly D.,RAY,TOA,EAR,BIG,BY,B,The missing letters are TOA (TOAD).
M3L_NEW_013,Breakfast CEL.,IVY,NAG,SAD,SIT,REA,E,The missing letters are REA (CEREAL).
M3L_NEW_014,Chicken NOO.,SHY,DLE,LAY,HAY,ROT,B,The missing letters are DLE (NOODLE).
M3L_NEW_015,Green AD.,CAD,SAG,FAD,MAD,SAL,E,The missing letters are SAL (SALAD).
M3L_NEW_016,Ham SANCH.,THY,LAD,GET,DWI,INN,D,The missing letters are DWI (SANDWICH).
M3L_NEW_017,Tomato SE.,RAY,INN,TAD,AUC,PAY,D,The missing letters are AUC (SAUCE).
M3L_NEW_018,Beef GR.,LIT,AVY,GET,TION,YET,B,The missing letters are AVY (GRAVY).
M3L_NEW_019,White ST.,TOY,OAT,PAD,PAY,HIR,E,The missing letters are HIR (SHIRT).
M3L_NEW_020,Short SK.,IRT,ORE,MOO,DOT,ING,A,The missing letters are IRT (SKIRT).
M3L_NEW_021,Pink DR.,ESS,KIT,ACE,OLD,FOX,A,The missing letters are ESS (DRESS).
M3L_NEW_022,Blue PA.,BY,NTS,HAT,THY,HAY,B,The missing letters are NTS (PANTS).
M3L_NEW_023,Woolly KS.,ONE,NAY,SOC,PET,FIT,C,The missing letters are SOC (SOCKS).
M3L_NEW_024,Shiny SS.,PAD,MOO,BOO,HIT,HOE,E,The missing letters are HOE (SHOES).
M3L_NEW_025,Warm T.,APE,OAK,MOO,COA,MAT,D,The missing letters are COA (COAT).
M3L_NEW_026,Hand GL.,OIL,SET,HOT,OVE,JAY,D,The missing letters are OVE (GLOVE).
M3L_NEW_027,Rain BO.,OTS,TION,ARM,ZOO,FEE,A,The missing letters are OTS (BOOTS).
M3L_NEW_028,Leather B.,CAD,COO,RAT,ELT,MAN,D,The missing letters are ELT (BELT).
M3L_NEW_029,My H hurts.,WET,DRY,EAD,NET,OUR,C,The missing letters are EAD (HEAD).
M3L_NEW_030,Long H.,END,OUT,AIR,SPY,ACE,C,The missing letters are AIR (HAIR).
M3L_NEW_031,Wash your E.,CAD,POT,ACT,FAC,EGO,D,The missing letters are FAC (FACE).
M3L_NEW_032,Blue E.,MOO,YES,MAN,RAG,AGE,B,The missing letters are YES (EYES).
M3L_NEW_033,Red N.,OSE,ORB,CRY,END,ACE,A,The missing letters are OSE (NOSE).
M3L_NEW_034,Open MO.,SAD,UTH,ORE,ATE,VET,B,The missing letters are UTH (MOUTH).
M3L_NEW_035,Big S.,EAR,THY,LOO,EYE,FOR,A,The missing letters are EAR (EARS).
M3L_NEW_036,Strong A.,PRY,OPT,RMS,ING,SIT,C,The missing letters are RMS (ARMS).
M3L_NEW_037,Long L.,EGS,ENT,AID,BIG,FAD,A,The missing letters are EGS (LEGS).
M3L_NEW_038,Two T.,RAT,FIT,KIT,NEW,FEE,E,The missing letters are FEE (FEET).
M3L_NEW_039,Left H.,RUN,SPY,AND,APE,LIT,C,The missing letters are AND (HAND).
M3L_NEW_040,Ten S.,TOY,ODD,BAG,TOE,EGO,D,The missing letters are TOE (TOES).
M3L_NEW_041,Bony ES.,SIT,YET,KNE,YAK,OPT,C,The missing letters are KNE (KNEES).
M3L_NEW_042,Bumpy OW.,ELB,MET,GET,OAT,FOX,A,The missing letters are ELB (ELBOW).
M3L_NEW_043,Long N.,MAG,ORE,LOO,ECK,BAD,D,The missing letters are ECK (NECK).
M3L_NEW_044,Broad CT.,DOT,HES,LOO,AGE,BEE,B,The missing letters are HES (CHEST).
M3L_NEW_045,Full MACH.,ONE,GET,OPT,TOP,STO,E,The missing letters are STO (STOMACH).
M3L_NEW_046,Boil the KEE.,ATE,AIM,EGO,TTL,OUR,D,The missing letters are TTL (KETTLE).
M3L_NEW_047,Cold FRE.,BIT,TOP,EST,HAG,IDG,E,The missing letters are IDG (FRIDGE).
M3L_NEW_048,Ice FRER.,ODD,EEZ,ASH,EYE,COO,B,The missing letters are EEZ (FREEZER).
M3L_NEW_049,Hot O.,VEN,RAG,APE,ING,TOO,A,The missing letters are VEN (OVEN).
M3L_NEW_050,Kitchen S.,OPT,FOX,INK,KIT,MET,C,The missing letters are INK (SINK).
M3L_NEW_051,Hot H.,BAG,APE,BAT,FRY,USE,C,The missing letters are BAT (BATH).
M3L_NEW_052,Take a SHO.,WER,OAT,NEW,TAD,RAY,A,The missing letters are WER (SHOWER).
M3L_NEW_053,Dry EL.,EGO,JAY,ENT,TOW,LAD,D,The missing letters are TOW (TOWEL).
M3L_NEW_054,Wash with S.,MOO,ICE,YAK,HAG,OAP,E,The missing letters are OAP (SOAP).
M3L_NEW_055,Hair MPOO.,MAN,OFF,SHA,PIT,KIT,C,The missing letters are SHA (SHAMPOO).
M3L_NEW_056,Hair C.,OMB,TOY,OUR,ATE,RED,A,The missing letters are OMB (COMB).
M3L_NEW_057,Look in the MIR.,RRO,SIT,GAG,BAY,OUT,A,The missing letters are RRO (MIRROR).
M3L_NEW_058,School IL.,JOY,LAY,PUP,HAG,YET,C,The missing letters are PUP (PUPIL).
M3L_NEW_059,University SENT.,COO,TUD,APE,SHY,LOO,B,The missing letters are TUD (STUDENT).
M3L_NEW_060,School PCIPAL.,RIN,DOG,GAY,EAR,SIT,A,The missing letters are RIN (PRINCIPAL).
M3L_NEW_061,School UNIM.,AGE,ENT,FOR,OPT,ATE,C,The missing letters are FOR (UNIFORM).
M3L_NEW_062,Play SPS.,BIT,ORT,YAK,ASK,FEE,B,The missing letters are ORT (SPORTS).
M3L_NEW_063,Hard MA.,SKY,NAY,BY,WEE,THS,E,The missing letters are THS (MATHS).
M3L_NEW_064,Speak ENGH.,OAT,LIS,DAY,LAD,DAD,B,The missing letters are LIS (ENGLISH).
M3L_NEW_065,Lab SCIE.,MAT,CAN,ENC,NET,RAT,C,The missing letters are ENC (SCIENCE).
M3L_NEW_066,Past HIRY.,DAD,STO,YET,LOT,BAY,B,The missing letters are STO (HISTORY).
M3L_NEW_067,Act in DA.,HAD,RAM,THE,WET,YAK,B,The missing letters are RAM (DRAMA).
M3L_NEW_068,Steep CL.,IFF,ATE,IVE,DOG,MAG,A,The missing letters are IFF (CLIFF).
M3L_NEW_069,Yellow D.,ONE,LOT,HAG,SAN,RED,D,The missing letters are SAN (SAND).
M3L_NEW_070,Hard K.,ART,POT,COO,ROC,ARM,D,The missing letters are ROC (ROCK).
M3L_NEW_071,Smooth NE.,INN,EVE,EST,STO,LIT,D,The missing letters are STO (STONE).
M3L_NEW_072,Small PEE.,OUT,SKY,DOG,CAN,BBL,E,The missing letters are BBL (PEBBLE).
M3L_NEW_073,Brown T.,ONE,EAT,RAD,WEE,DIR,E,The missing letters are DIR (DIRT).
M3L_NEW_074,Green NT.,INN,ACE,DOT,PLA,PAY,D,The missing letters are PLA (PLANT).
M3L_NEW_075,Garden W.,COT,BAY,EED,ASH,WIT,C,The missing letters are EED (WEED).
M3L_NEW_076,Baby WL.,BOX,EAT,AGE,TAD,CRA,E,The missing letters are CRA (CRAWL).
M3L_NEW_077,Don't HT.,FIG,EVE,ASK,ADO,FRY,A,The missing letters are FIG (FIGHT).
M3L_NEW_078,Don't AR.,GUE,THE,ADO,HIT,TAD,A,The missing letters are GUE (ARGUE).
M3L_NEW_079,Please T.,ALK,ADO,OIL,HAT,IVY,A,The missing letters are ALK (TALK).
M3L_NEW_080,Can you AK?,IRE,JAG,WIT,SPE,LIT,D,The missing letters are SPE (SPEAK).
M3L_NEW_081,Don't UT.,LAD,ATE,SAG,ART,SHO,E,The missing letters are SHO (SHOUT).
M3L_NEW_082,Quiet WPER.,HIS,URN,RAT,SET,IVY,A,The missing letters are HIS (WHISPER).
M3L_NEW_083,Funny LA.,SET,FRY,ODD,UGH,TOO,D,The missing letters are UGH (LAUGH).
M3L_NEW_084,Big LE.,NAG,MAD,SMI,WET,YAK,C,The missing letters are SMI (SMILE).
M3L_NEW_085,Sad FN.,MAT,BAG,USE,ROW,SAY,D,The missing letters are ROW (FROWN).
M3L_NEW_086,Go to SL.,SAY,HOP,MET,EEP,JET,D,The missing letters are EEP (SLEEP).
M3L_NEW_087,Time to W.,ARM,EAR,ILL,AKE,TOP,D,The missing letters are AKE (WAKE).
M3L_NEW_088,Cold DR.,AIR,INK,OUT,ART,TRY,B,The missing letters are INK (DRINK).
M3L_NEW_089,Chef C.,WAG,OOK,BOY,TAG,OUR,B,The missing letters are OOK (COOK).
M3L_NEW_090,Cake B.,EGO,DRY,AKE,MAN,WHY,C,The missing letters are AKE (BAKE).
M3L_NEW_091,Water L.,EAR,OUT,RUN,BOI,MAN,D,The missing letters are BOI (BOIL).
M3L_NEW_092,Hands W.,GAY,PRY,ASH,EAT,LEE,C,The missing letters are ASH (WASH).
M3L_NEW_093,Clean W.,NAY,BIG,IPE,IVY,IVE,C,The missing letters are IPE (WIPE).
M3L_NEW_094,Floor SW.,YAK,EYE,EEP,LAG,URN,C,The missing letters are EEP (SWEEP).
M3L_NEW_095,Clean D.,INN,SIT,UST,MAN,EGG,C,The missing letters are UST (DUST).
M3L_NEW_096,Ghost SY.,ONE,FAT,ZOO,CAR,RUN,D,The missing letters are CAR (SCARY).
M3L_NEW_097,Hero VE.,FAT,FRY,RAT,BRA,EAT,D,The missing letters are BRA (BRAVE).
M3L_NEW_098,Scared COD.,MAY,ORB,HOT,OUT,WAR,E,The missing letters are WAR (COWARD).
M3L_NEW_099,Desert ISD.,LAD,OUS,ACE,LAN,BIT,D,The missing letters are LAN (ISLAND).
M3L_NEW_100,Old MUM.,MY,JET,TAG,SEU,WAG,D,The missing letters are SEU (MUSEUM).
M3L_NEW_101,Sick HOTAL.,OUT,YAK,SPI,LEE,WIT,C,The missing letters are SPI (HOSPITAL).
M3L_NEW_102,Health CIC.,LAY,LIN,PIT,SKY,USE,B,The missing letters are LIN (CLINIC).
M3L_NEW_103,Kind NE.,EST,DAY,GAG,URS,MAY,D,The missing letters are URS (NURSE).
M3L_NEW_104,Call the ICE.,RUN,POL,OLD,SIT,THY,B,The missing letters are POL (POLICE).
M3L_NEW_105,Brave FMAN.,MY,FLY,IRE,BOO,SUN,C,The missing letters are IRE (FIREMAN).
M3L_NEW_106,Army DIER.,MY,KAY,SOL,FRY,MAG,C,The missing letters are SOL (SOLDIER).
M3L_NEW_107,Navy SAR.,ILO,HOP,WAG,USE,VET,A,The missing letters are ILO (SAILOR).
M3L_NEW_108,Plane PI.,INK,EVE,FOR,HAG,LOT,E,The missing letters are LOT (PILOT).
M3L_NEW_109,Car MANIC.,ECH,RAT,AID,ORE,NAG,A,The missing letters are ECH (MECHANIC).
M3L_NEW_110,Pipe PBER.,WHY,SHY,LET,LUM,SKY,D,The missing letters are LUM (PLUMBER).
M3L_NEW_111,House BDER.,OWN,UIL,ALL,SAT,TOP,B,The missing letters are UIL (BUILDER).
M3L_NEW_112,Art PAER.,GET,INT,SAG,HOP,RAG,B,The missing letters are INT (PAINTER).
M3L_NEW_113,Head C.,NAG,HEF,ARM,BOO,ILL,B,The missing letters are HEF (CHEF).
M3L_NEW_114,Film AC.,HOP,TOR,JAG,COO,OLD,B,The missing letters are TOR (ACTOR).
M3L_NEW_115,Book WRR.,AIM,ARM,ITE,HOT,MET,C,The missing letters are ITE (WRITER).
M3L_NEW_116,Rhyme P.,OET,DOT,END,LOO,AND,A,The missing letters are OET (POET).
M3L_NEW_117,Team CH.,OAT,OAC,ONE,FOR,COO,B,The missing letters are OAC (COACH).
M3L_NEW_118,Match REEE.,THY,EYE,AIR,FER,JAY,D,The missing letters are FER (REFEREE).
M3L_NEW_119,Court GE.,END,WEE,OAR,JUD,EGG,D,The missing letters are JUD (JUDGE).
M3L_NEW_120,Royal K.,THY,TEE,VET,ING,ADO,D,The missing letters are ING (KING).
M3L_NEW_121,Royal QN.,SEE,BEE,WAY,UEE,POT,D,The missing letters are UEE (QUEEN).
M3L_NEW_122,Royal PCE.,CRY,RIN,BET,TOY,TRY,B,The missing letters are RIN (PRINCE).
M3L_NEW_123,Royal NCESS.,EVE,WAY,PRI,OWN,RED,C,The missing letters are PRI (PRINCESS).
M3L_NEW_124,Race CK.,TRA,URN,POT,NET,JAY,A,The missing letters are TRA (TRACK).
M3L_NEW_125,Train RWAY.,AGE,EAR,AIL,FOR,AND,C,The missing letters are AIL (RAILWAY).
M3L_NEW_126,Bus STAN.,SKY,JOY,TIO,LOO,WIT,C,The missing letters are TIO (STATION).
M3L_NEW_127,Plane AIRT.,AIM,POR,FAD,ENT,SUN,B,The missing letters are POR (AIRPORT).
M3L_NEW_128,Boat HARR.,LAD,BOU,SET,TION,OLD,B,The missing letters are BOU (HARBOUR).
M3L_NEW_129,Ship T.,POR,COO,ARM,OWL,WHY,A,The missing letters are POR (PORT).
M3L_NEW_130,Sailing YT.,ACH,AIM,ING,AND,MAT,A,The missing letters are ACH (YACHT).
M3L_NEW_131,Car FE.,LOT,SIT,END,RRY,SHY,D,The missing letters are RRY (FERRY).
