Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer
"Find two words, one from each group, that are closest in meaning: (witty simple former) (peaceful steady easy)",witty peaceful,simple steady,former easy,witty steady,simple easy,simple easy
"Find two words, one from each group, that are closest in meaning: (skilful circular former) (able huge vague)",former vague,skilful able,circular huge,circular able,skilful huge,skilful able
"Find two words, one from each group, that are closest in meaning: (skilful bold wild) (cheerful able grateful)",bold able,wild grateful,bold cheerful,skilful able,skilful cheerful,skilful able
"Find two words, one from each group, that are closest in meaning: (slice trail labour) (sleep cut nap)",slice cut,trail sleep,slice sleep,labour nap,trail cut,slice cut
"Find two words, one from each group, that are closest in meaning: (rock error slice) (cut bucket sidewalk)",slice sidewalk,slice cut,error bucket,rock cut,rock bucket,slice cut
"Find two words, one from each group, that are closest in meaning: (raise soar slumber) (echo soften fly)",raise echo,soar soften,soar fly,slumber fly,raise soften,soar fly
"Find two words, one from each group, that are closest in meaning: (inform soar ban) (fly reduce conceal)",inform reduce,soar reduce,soar fly,ban conceal,inform fly,soar fly
"Find two words, one from each group, that are closest in meaning: (sleep clothing sofa) (couch flower money)",sofa couch,sleep flower,sofa money,sleep couch,clothing flower,sofa couch
"Find two words, one from each group, that are closest in meaning: (sofa error aroma) (fragrance couch poverty)",sofa couch,sofa fragrance,error fragrance,error couch,aroma poverty,sofa couch
"Find two words, one from each group, that are closest in meaning: (soften depart complete) (elevate show melt)",soften melt,soften elevate,complete melt,depart show,soften show,soften melt
"Find two words, one from each group, that are closest in meaning: (remember soften fly) (complete learn melt)",remember complete,fly melt,remember learn,soften learn,soften melt,soften melt
"Find two words, one from each group, that are closest in meaning: (sombre strong mad) (clear coarse gloomy)",strong coarse,sombre clear,sombre coarse,mad gloomy,sombre gloomy,sombre gloomy
"Find two words, one from each group, that are closest in meaning: (sombre silent thin) (tidy wild gloomy)",thin gloomy,sombre tidy,silent wild,sombre gloomy,sombre wild,sombre gloomy
"Find two words, one from each group, that are closest in meaning: (stable distinct immediate) (steady colossal awake)",stable colossal,immediate awake,distinct colossal,stable steady,distinct steady,stable steady
"Find two words, one from each group, that are closest in meaning: (cheerful stable whole) (steady odd short)",stable steady,cheerful steady,cheerful odd,whole short,stable odd,stable steady
"Find two words, one from each group, that are closest in meaning: (start burn assist) (begin notify reveal)",start begin,start notify,burn notify,burn begin,assist reveal,start begin
"Find two words, one from each group, that are closest in meaning: (prompt start overlook) (finish slumber begin)",start begin,prompt finish,overlook begin,start slumber,prompt slumber,start begin
"Find two words, one from each group, that are closest in meaning: (regret apparel stone) (liquid rock peak)",regret rock,stone peak,apparel rock,regret liquid,stone rock,stone rock
"Find two words, one from each group, that are closest in meaning: (storm stone liberty) (rock catastrophe disaster)",stone rock,liberty disaster,storm rock,stone catastrophe,storm catastrophe,stone rock
"Find two words, one from each group, that are closest in meaning: (velocity storm peak) (freedom country hurricane)",velocity country,storm hurricane,velocity freedom,peak hurricane,storm country,storm hurricane
"Find two words, one from each group, that are closest in meaning: (sight speed storm) (hurricane fragrance catastrophe)",storm hurricane,sight hurricane,speed fragrance,sight fragrance,storm catastrophe,storm hurricane
"Find two words, one from each group, that are closest in meaning: (sturdy vast unusual) (strong vacant afraid)",unusual afraid,sturdy vacant,vast vacant,sturdy strong,vast strong,sturdy strong
"Find two words, one from each group, that are closest in meaning: (tie start scorch) (attach dwell expand)",start attach,tie attach,tie dwell,scorch expand,start dwell,tie attach
"Find two words, one from each group, that are closest in meaning: (tie reduce play) (overlook attach alter)",tie overlook,reduce overlook,reduce attach,play alter,tie attach,tie attach
"Find two words, one from each group, that are closest in meaning: (connect live toss) (prohibit throw prompt)",live throw,toss prompt,toss throw,connect throw,connect prohibit,toss throw
"Find two words, one from each group, that are closest in meaning: (elevate toss alter) (ban throw slumber)",elevate ban,alter slumber,toss throw,toss ban,elevate throw,toss throw
"Find two words, one from each group, that are closest in meaning: (track flower scent) (bucket scent trail)",track scent,track bucket,track trail,flower scent,scent trail,track trail
"Find two words, one from each group, that are closest in meaning: (track look error) (poverty trail liberty)",track trail,look trail,track poverty,look poverty,error liberty,track trail
"Find two words, one from each group, that are closest in meaning: (skilful dirty vacant) (delicate empty gloomy)",vacant gloomy,skilful delicate,skilful empty,vacant empty,dirty empty,vacant empty
"Find two words, one from each group, that are closest in meaning: (vacant faithful difficult) (gloomy empty rough)",faithful empty,vacant empty,faithful gloomy,difficult rough,vacant gloomy,vacant empty
"Find two words, one from each group, that are closest in meaning: (mad afraid vague) (costly lean unclear)",mad costly,afraid lean,vague unclear,mad lean,afraid costly,vague unclear
"Find two words, one from each group, that are closest in meaning: (old previous vague) (short unclear circular)",old short,old unclear,vague unclear,previous unclear,vague circular,vague unclear
"Find two words, one from each group, that are closest in meaning: (skilful strong vast) (strange huge costly)",strong huge,vast costly,vast huge,skilful strange,skilful huge,vast huge
"Find two words, one from each group, that are closest in meaning: (vast rough modern) (awake cautious huge)",modern huge,rough cautious,vast huge,vast awake,vast cautious,vast huge
"Find two words, one from each group, that are closest in meaning: (liberty storm velocity) (sleep speed freedom)",velocity freedom,storm speed,velocity speed,liberty sleep,liberty speed,velocity speed
"Find two words, one from each group, that are closest in meaning: (enemy need velocity) (mist hurt speed)",need hurt,enemy hurt,velocity speed,need mist,enemy mist,velocity speed
"Find two words, one from each group, that are closest in meaning: (work baby scent) (labour disaster peak)",scent peak,work disaster,work labour,baby labour,baby disaster,work labour
"Find two words, one from each group, that are closest in meaning: (track work inside) (velocity price labour)",work price,inside labour,track price,track velocity,work labour,work labour
"Find two words, one from each group, that are closest in meaning: (study cease elevate) (show stop collect)",study stop,study show,elevate collect,cease stop,cease show,cease stop
"Find two words, one from each group, that are closest in meaning: (vacant loyal instant) (empty rough cloudy)",instant cloudy,vacant rough,vacant empty,loyal empty,loyal rough,vacant empty
"Find two words, one from each group, that are closest in meaning: (vacant lean neat) (tidy cloudy vast)",neat vast,neat tidy,lean cloudy,vacant cloudy,vacant tidy,neat tidy
"Find two words, one from each group, that are closest in meaning: (wild unwilling immediate) (thankful unusual instant)",immediate instant,wild unusual,unwilling thankful,wild thankful,unwilling unusual,immediate instant
"Find two words, one from each group, that are closest in meaning: (prompt avoid show) (incite pardon expand)",show expand,prompt pardon,avoid incite,avoid pardon,prompt incite,prompt incite
"Find two words, one from each group, that are closest in meaning: (unclean angry loyal) (moist faithful coarse)",loyal coarse,loyal faithful,unclean faithful,angry faithful,unclean moist,loyal faithful
"Find two words, one from each group, that are closest in meaning: (important savage faithful) (wild huge rare)",important wild,savage wild,important huge,faithful rare,savage huge,savage wild
"Find two words, one from each group, that are closest in meaning: (entire eternal peaceful) (pleasant dull whole)",entire dull,peaceful whole,entire pleasant,eternal dull,entire whole,entire whole
"Find two words, one from each group, that are closest in meaning: (vast old bold) (huge reluctant colossal)",vast huge,old reluctant,bold colossal,old huge,vast reluctant,vast huge
"Find two words, one from each group, that are closest in meaning: (harm work enemy) (liberty labour fluid)",harm liberty,work labour,enemy fluid,harm labour,work liberty,work labour
"Find two words, one from each group, that are closest in meaning: (imitate gather complete) (repair finish copy)",imitate finish,complete copy,gather finish,imitate copy,imitate repair,imitate copy
"Find two words, one from each group, that are closest in meaning: (scent dish flower) (blossom infant look)",flower blossom,dish infant,scent blossom,flower look,scent infant,flower blossom
"Find two words, one from each group, that are closest in meaning: (cease dodge dwell) (avoid fix live)",dwell live,dodge fix,cease fix,cease avoid,dodge avoid,dodge avoid
"Find two words, one from each group, that are closest in meaning: (help alter dwell) (change show repeat)",dwell repeat,help show,alter show,alter change,help change,alter change
"Find two words, one from each group, that are closest in meaning: (easy hard opaque) (rapid cloudy expensive)",easy cloudy,easy rapid,hard cloudy,opaque expensive,opaque cloudy,opaque cloudy
"Find two words, one from each group, that are closest in meaning: (prohibit end learn) (start study show)",prohibit start,learn study,learn show,prohibit study,end study,learn study
"Find two words, one from each group, that are closest in meaning: (inside blossom aroma) (scent clothing sleep)",aroma scent,blossom clothing,aroma sleep,inside clothing,inside scent,aroma scent
"Find two words, one from each group, that are closest in meaning: (price disaster cradle) (inside catastrophe fragrance)",price catastrophe,disaster catastrophe,disaster inside,cradle fragrance,price inside,disaster catastrophe
"Find two words, one from each group, that are closest in meaning: (everlasting thin important) (easy vital brief)",thin vital,important brief,important vital,everlasting easy,everlasting vital,important vital
"Find two words, one from each group, that are closest in meaning: (vacant dirty previous) (unclean lean delicate)",vacant unclean,dirty lean,dirty unclean,previous delicate,vacant lean,dirty unclean
"Find two words, one from each group, that are closest in meaning: (velocity rural nap) (country top cradle)",rural top,rural country,nap cradle,velocity country,velocity top,rural country
"Find two words, one from each group, that are closest in meaning: (start echo sleep) (collect scorch repeat)",echo scorch,start collect,echo repeat,start scorch,sleep repeat,echo repeat
"Find two words, one from each group, that are closest in meaning: (gloomy pleasant eternal) (nice happy vital)",eternal vital,pleasant nice,gloomy happy,pleasant happy,gloomy nice,pleasant nice
"Find two words, one from each group, that are closest in meaning: (depart stop gather) (examine leave recollect)",gather recollect,stop leave,depart examine,stop examine,depart leave,depart leave
"Find two words, one from each group, that are closest in meaning: (apparel peak pavement) (clothing foe scent)",apparel foe,peak foe,peak clothing,pavement scent,apparel clothing,apparel clothing
"Find two words, one from each group, that are closest in meaning: (stable modern odd) (sturdy strange important)",stable strange,stable sturdy,modern strange,odd strange,odd important,odd strange
"Find two words, one from each group, that are closest in meaning: (brief distinct fragile) (brave skilful delicate)",brief skilful,distinct brave,brief brave,distinct skilful,fragile delicate,fragile delicate
"Find two words, one from each group, that are closest in meaning: (conceal leave assist) (learn grow hide)",conceal grow,conceal learn,assist hide,conceal hide,leave grow,conceal hide
"Find two words, one from each group, that are closest in meaning: (change reduce tie) (inspect attach dodge)",tie attach,reduce attach,tie dodge,change inspect,change attach,tie attach
"Find two words, one from each group, that are closest in meaning: (gather fly dodge) (forgive collect shout)",fly forgive,fly collect,gather collect,dodge shout,gather forgive,gather collect
"Find two words, one from each group, that are closest in meaning: (liquid pavement freedom) (sidewalk hurt remorse)",freedom remorse,liquid hurt,liquid sidewalk,pavement hurt,pavement sidewalk,pavement sidewalk
"Find two words, one from each group, that are closest in meaning: (soften dodge shout) (begin melt stop)",dodge melt,shout stop,soften melt,soften begin,dodge begin,soften melt
"Find two words, one from each group, that are closest in meaning: (speed country slice) (cut baby fluid)",slice fluid,speed baby,slice cut,country baby,speed cut,slice cut
"Find two words, one from each group, that are closest in meaning: (rural hurricane mist) (fog sea mistake)",rural fog,hurricane sea,rural sea,mist mistake,mist fog,mist fog
"Find two words, one from each group, that are closest in meaning: (prompt slumber start) (reduce begin leave)",start leave,slumber begin,prompt reduce,start begin,prompt begin,start begin
"Find two words, one from each group, that are closest in meaning: (vague old quick) (rare rapid opaque)",quick rapid,vague rapid,quick opaque,vague rare,old rapid,quick rapid
"Find two words, one from each group, that are closest in meaning: (sturdy damp robust) (silent expensive strong)",damp silent,sturdy silent,sturdy expensive,damp expensive,robust strong,robust strong
"Find two words, one from each group, that are closest in meaning: (hurt foe sofa) (country scent couch)",foe country,sofa couch,foe scent,hurt country,hurt scent,sofa couch
"Find two words, one from each group, that are closest in meaning: (harm hurricane money) (hurt regret interior)",hurricane hurt,money interior,harm hurt,hurricane regret,harm regret,harm hurt
"Find two words, one from each group, that are closest in meaning: (copy inspect ignore) (examine shout look)",inspect examine,inspect shout,ignore look,copy examine,copy shout,inspect examine
"Find two words, one from each group, that are closest in meaning: (burn ignore shout) (help overlook reduce)",burn help,ignore overlook,shout reduce,ignore help,burn overlook,ignore overlook
"Find two words, one from each group, that are closest in meaning: (attach begin complete) (overlook stop finish)",begin stop,attach stop,complete finish,attach overlook,begin overlook,complete finish
"Find two words, one from each group, that are closest in meaning: (vague delicate dull) (damp unclear vast)",delicate unclear,delicate damp,vague damp,vague unclear,dull vast,vague unclear
"Find two words, one from each group, that are closest in meaning: (pavement poverty look) (clothing sight sofa)",pavement clothing,pavement sight,look sofa,look sight,poverty sight,look sight
"Find two words, one from each group, that are closest in meaning: (vague cheerful calm) (eternal peaceful mad)",cheerful peaceful,calm peaceful,vague peaceful,vague eternal,calm mad,calm peaceful
"Find two words, one from each group, that are closest in meaning: (cradle storm regret) (country labour remorse)",storm country,storm labour,cradle country,regret remorse,cradle labour,regret remorse
"Find two words, one from each group, that are closest in meaning: (angry rough sombre) (faithful gloomy loyal)",sombre loyal,rough gloomy,angry faithful,angry gloomy,sombre gloomy,sombre gloomy
"Find two words, one from each group, that are closest in meaning: (immediate silent harsh) (thankful skilful quiet)",immediate skilful,silent skilful,harsh quiet,immediate thankful,silent quiet,silent quiet
"Find two words, one from each group, that are closest in meaning: (enemy storm liberty) (freedom speed hurt)",enemy speed,enemy freedom,storm speed,liberty freedom,liberty hurt,liberty freedom
"Find two words, one from each group, that are closest in meaning: (need baby cot) (mist cradle infant)",cot infant,need mist,need cradle,baby cradle,cot cradle,cot cradle
"Find two words, one from each group, that are closest in meaning: (fragile awake unclean) (wild sombre alert)",fragile wild,unclean alert,awake sombre,fragile sombre,awake alert,awake alert
"Find two words, one from each group, that are closest in meaning: (fog bowl interior) (inside fluid hurt)",interior hurt,interior inside,fog inside,fog fluid,bowl fluid,interior inside
"Find two words, one from each group, that are closest in meaning: (immediate rough empty) (coarse damp harsh)",empty harsh,rough coarse,immediate coarse,rough damp,immediate damp,rough coarse
"Find two words, one from each group, that are closest in meaning: (inform reveal join) (reduce connect prohibit)",join connect,inform reduce,inform connect,reveal connect,join prohibit,join connect
"Find two words, one from each group, that are closest in meaning: (leave throw reveal) (imitate sleep show)",reveal show,leave sleep,throw sleep,throw imitate,leave imitate,reveal show
"Find two words, one from each group, that are closest in meaning: (short delicate correct) (truthful lucky right)",short lucky,delicate lucky,short truthful,delicate truthful,correct right,correct right
"Find two words, one from each group, that are closest in meaning: (scent money scent) (inside cot price)",money price,money cot,scent cot,scent price,scent inside,money price
"Find two words, one from each group, that are closest in meaning: (finish shout help) (soften ignore yell)",shout yell,finish ignore,shout ignore,help yell,finish soften,shout yell
"Find two words, one from each group, that are closest in meaning: (avoid alter recollect) (fly remember ban)",recollect remember,avoid remember,recollect ban,alter remember,avoid fly,recollect remember
"Find two words, one from each group, that are closest in meaning: (everlasting harsh robust) (neat simple cruel)",everlasting simple,everlasting neat,harsh cruel,harsh simple,robust cruel,harsh cruel
"Find two words, one from each group, that are closest in meaning: (begin burn incite) (scorch forgive soar)",burn scorch,begin scorch,incite soar,burn forgive,begin forgive,burn scorch
"Find two words, one from each group, that are closest in meaning: (savage reluctant angry) (old unwilling new)",savage old,reluctant unwilling,reluctant old,angry new,savage unwilling,reluctant unwilling
"Find two words, one from each group, that are closest in meaning: (toss pardon live) (elevate throw expand)",live expand,pardon elevate,pardon throw,toss elevate,toss throw,toss throw
"Find two words, one from each group, that are closest in meaning: (mistake stone pail) (rock look country)",mistake look,stone rock,stone look,mistake rock,pail country,stone rock
"Find two words, one from each group, that are closest in meaning: (prohibit start assist) (ignore change ban)",start change,prohibit ban,assist ban,prohibit change,prohibit ignore,prohibit ban
"Find two words, one from each group, that are closest in meaning: (tie slumber show) (incite finish sleep)",slumber finish,show sleep,slumber sleep,tie finish,tie incite,slumber sleep
"Find two words, one from each group, that are closest in meaning: (moist scared odd) (short unclean afraid)",scared afraid,moist short,moist unclean,odd afraid,scared unclean,scared afraid
"Find two words, one from each group, that are closest in meaning: (nice clear modern) (distinct new quick)",modern quick,modern new,nice distinct,nice new,clear new,modern new
"Find two words, one from each group, that are closest in meaning: (harsh round simple) (easy thankful loyal)",harsh thankful,simple easy,harsh easy,round thankful,simple loyal,simple easy
"Find two words, one from each group, that are closest in meaning: (mist storm mistake) (aroma rock hurricane)",storm rock,mistake hurricane,mist rock,storm hurricane,mist aroma,storm hurricane
"Find two words, one from each group, that are closest in meaning: (glance gather act) (play imitate alter)",gather imitate,glance imitate,glance play,act play,act alter,act play
"Find two words, one from each group, that are closest in meaning: (notify cease lessen) (inform prompt fix)",notify inform,cease prompt,lessen fix,cease inform,notify prompt,notify inform
"Find two words, one from each group, that are closest in meaning: (peaceful insane right) (mad wild clear)",right clear,peaceful mad,insane mad,peaceful wild,insane wild,insane mad
"Find two words, one from each group, that are closest in meaning: (boring damp easy) (fragile nice moist)",damp moist,boring fragile,boring nice,easy moist,damp nice,damp moist
"Find two words, one from each group, that are closest in meaning: (expensive former modern) (difficult brave costly)",expensive brave,expensive difficult,former brave,modern costly,expensive costly,expensive costly
"Find two words, one from each group, that are closest in meaning: (moist fortunate grateful) (funny nice thankful)",fortunate funny,grateful thankful,moist funny,fortunate nice,moist nice,grateful thankful
"Find two words, one from each group, that are closest in meaning: (angry immediate difficult) (sombre hard entire)",angry hard,angry sombre,difficult entire,difficult hard,immediate hard,difficult hard
"Find two words, one from each group, that are closest in meaning: (soar echo incite) (cease fly examine)",soar fly,soar cease,echo cease,echo fly,incite examine,soar fly
"Find two words, one from each group, that are closest in meaning: (previous afraid angry) (difficult unwilling former)",afraid unwilling,previous unwilling,previous former,angry former,previous difficult,previous former
"Find two words, one from each group, that are closest in meaning: (assist finish soar) (help live echo)",assist live,finish live,assist help,soar echo,finish help,assist help
"Find two words, one from each group, that are closest in meaning: (strange dull brave) (immediate boring bold)",dull boring,brave bold,strange immediate,dull immediate,strange boring,brave bold
"Find two words, one from each group, that are closest in meaning: (stable cautious thin) (unusual steady cloudy)",thin cloudy,stable unusual,stable steady,cautious unusual,cautious steady,stable steady
"Find two words, one from each group, that are closest in meaning: (previous afraid fortunate) (lucky vague empty)",fortunate lucky,fortunate empty,afraid vague,previous vague,previous lucky,fortunate lucky
"Find two words, one from each group, that are closest in meaning: (sombre eternal colossal) (everlasting calm short)",eternal everlasting,sombre everlasting,eternal calm,colossal short,sombre calm,eternal everlasting
"Find two words, one from each group, that are closest in meaning: (infant labour fog) (track regret baby)",labour regret,infant track,fog baby,infant baby,infant regret,infant baby
"Find two words, one from each group, that are closest in meaning: (bowl fluid fog) (remorse mistake dish)",bowl dish,bowl remorse,bowl mistake,fluid mistake,fog dish,bowl dish
"Find two words, one from each group, that are closest in meaning: (blossom peak remorse) (top fluid freedom)",peak top,remorse freedom,blossom fluid,peak fluid,blossom top,peak top
"Find two words, one from each group, that are closest in meaning: (elevate reduce incite) (imitate repair raise)",elevate imitate,elevate raise,incite raise,elevate repair,reduce repair,elevate raise
"Find two words, one from each group, that are closest in meaning: (track mistake ocean) (infant need trail)",track infant,track need,track trail,mistake need,ocean trail,track trail
"Find two words, one from each group, that are closest in meaning: (empty skilful whole) (pleasant able scared)",empty pleasant,whole scared,skilful able,empty able,skilful pleasant,skilful able
"Find two words, one from each group, that are closest in meaning: (fix inform overlook) (repair reveal cease)",inform reveal,fix repair,inform repair,fix reveal,overlook cease,fix repair
"Find two words, one from each group, that are closest in meaning: (dwell finish fix) (expand stop live)",dwell live,dwell stop,fix live,finish stop,dwell expand,dwell live
"Find two words, one from each group, that are closest in meaning: (moist skilful funny) (colossal witty silent)",funny silent,funny witty,moist colossal,skilful witty,moist witty,funny witty
"Find two words, one from each group, that are closest in meaning: (circular unclear mad) (round ancient steady)",unclear ancient,unclear round,circular ancient,mad steady,circular round,circular round
"Find two words, one from each group, that are closest in meaning: (money poverty ocean) (peak bowl need)",money peak,ocean need,poverty need,money bowl,poverty bowl,poverty need
"Find two words, one from each group, that are closest in meaning: (cheerful wild peaceful) (afraid cloudy happy)",peaceful happy,cheerful afraid,cheerful cloudy,cheerful happy,wild cloudy,cheerful happy
"Find two words, one from each group, that are closest in meaning: (labour stone bucket) (slice work pail)",labour work,labour slice,stone work,stone slice,bucket pail,bucket pail
"Find two words, one from each group, that are closest in meaning: (help pardon expand) (forgive reduce alter)",help forgive,expand alter,pardon reduce,pardon forgive,help reduce,pardon forgive
"Find two words, one from each group, that are closest in meaning: (brief cheerful damp) (short nice round)",damp round,brief nice,cheerful nice,cheerful short,brief short,brief short
"Find two words, one from each group, that are closest in meaning: (delicate quiet honest) (old truthful former)",quiet truthful,honest truthful,delicate old,honest former,delicate truthful,honest truthful
"Find two words, one from each group, that are closest in meaning: (empty rare huge) (strange truthful unusual)",huge unusual,empty strange,empty truthful,rare unusual,rare truthful,rare unusual
"Find two words, one from each group, that are closest in meaning: (stop expand help) (grow inspect dodge)",stop inspect,expand grow,stop grow,help dodge,expand inspect,expand grow
"Find two words, one from each group, that are closest in meaning: (liberty ocean velocity) (cot rock speed)",ocean cot,liberty rock,velocity speed,liberty cot,ocean rock,velocity speed
"Find two words, one from each group, that are closest in meaning: (funny silent ancient) (clear savage old)",ancient old,funny clear,silent clear,silent savage,funny savage,ancient old
"Find two words, one from each group, that are closest in meaning: (error inside trail) (baby apparel mistake)",error apparel,error baby,inside apparel,error mistake,trail mistake,error mistake
"Find two words, one from each group, that are closest in meaning: (expensive honest angry) (cross vague short)",expensive vague,angry short,angry cross,honest vague,expensive cross,angry cross
"Find two words, one from each group, that are closest in meaning: (work liquid remorse) (slice pail fluid)",remorse fluid,liquid pail,liquid fluid,work pail,work slice,liquid fluid
"Find two words, one from each group, that are closest in meaning: (dull damp important) (eternal vacant boring)",dull boring,important boring,damp vacant,dull eternal,dull vacant,dull boring
"Find two words, one from each group, that are closest in meaning: (cautious colossal whole) (mad gloomy careful)",cautious mad,cautious gloomy,cautious careful,whole careful,colossal gloomy,cautious careful
"Find two words, one from each group, that are closest in meaning: (reduce shout play) (lessen soften imitate)",shout lessen,reduce soften,reduce lessen,shout soften,play imitate,reduce lessen
"Find two words, one from each group, that are closest in meaning: (enemy blossom slice) (foe fragrance scent)",slice scent,enemy fragrance,blossom fragrance,enemy foe,blossom foe,enemy foe
"Find two words, one from each group, that are closest in meaning: (unclear quick distinct) (clear rough unusual)",quick rough,distinct unusual,distinct clear,unclear clear,unclear rough,distinct clear
"Find two words, one from each group, that are closest in meaning: (lean tidy stable) (thin steady cautious)",tidy thin,stable cautious,tidy steady,lean steady,lean thin,lean thin
"Find two words, one from each group, that are closest in meaning: (poverty cradle ocean) (hurt sea apparel)",ocean sea,ocean apparel,poverty sea,cradle sea,poverty hurt,ocean sea
