"Question,OptionA,OptionB,OptionC,OptionD,OptionE,Correct Answer,Difficulty"
"Find the SYNONYMS: (FEAT BICYCLE FIRE) | (STATION ACHIEVEMENT CANDY),BICYCLE-CANDY,FEAT-ACHIEVEMENT,FEAT-STATION,FIRE-STATION,FIRE-ACHIEVEMENT,FEAT-ACHIEVEMENT,Level 2"
"Find the ANTONYMS: (CRY LEG SKIRT) | (QUEEN UMBRELLA LAUGH),SKIRT-QUEEN,CRY-LAUGH,CRY-QUEEN,LEG-LAUGH,SKIRT-LAUGH,CRY-LAUGH,Level 2"
"Find the ANTONYMS: (BACKWARD SHOP NOSE) | (GLASS SEED FORWARD),SHOP-GLASS,BACKWARD-FORWARD,BACKWARD-SEED,NOSE-FORWARD,NOSE-SEED,BACKWARD-FORWARD,Level 3"
"Find the ANTONYMS: (PLAYER FABULOUS SOAP) | (TERRIBLE GRAPE CUP),FABULOUS-CUP,FABULOUS-TERRIBLE,PLAYER-CUP,PLAYER-GRAPE,SOAP-GRAPE,FABULOUS-TERRIBLE,Level 2"
"Find the SYNONYMS: (SLIDE ASSEMBLE POTATO) | (FUR SODA GATHER),POTATO-GATHER,POTATO-SODA,ASSEMBLE-SODA,ASSEMBLE-GATHER,POTATO-FUR,ASSEMBLE-GATHER,Level 3"
"Find the SYNONYMS: (HOTEL FACILITY DRUM) | (TOMATO SCARF EASE),DRUM-EASE,FACILITY-SCARF,DRUM-TOMATO,FACILITY-EASE,FACILITY-TOMATO,FACILITY-EASE,Level 2"
"Find the SYNONYMS: (PENCIL ANCIENT ACTOR) | (RUG GREEN OLD),ANCIENT-RUG,PENCIL-OLD,ANCIENT-OLD,ANCIENT-GREEN,PENCIL-RUG,ANCIENT-OLD,Level 3"
"Find the SYNONYMS: (DOOR GLOVE DARING) | (LINEN SOUP BOLD),GLOVE-SOUP,DOOR-LINEN,GLOVE-BOLD,DARING-BOLD,GLOVE-LINEN,DARING-BOLD,Level 1"
"Find the SYNONYMS: (PIANO STAR CRAZY) | (GLASS JUG INSANE),STAR-JUG,PIANO-INSANE,CRAZY-INSANE,STAR-INSANE,CRAZY-GLASS,CRAZY-INSANE,Level 3"
"Find the ANTONYMS: (DOLL SHELF FRIGHT) | (COURAGE OFFICE SQUARE),SHELF-COURAGE,DOLL-OFFICE,FRIGHT-SQUARE,FRIGHT-COURAGE,DOLL-SQUARE,FRIGHT-COURAGE,Level 3"
"Find the ANTONYMS: (MIST ENTRANCE NOTE) | (SNOW WALL EXIT),MIST-SNOW,ENTRANCE-WALL,ENTRANCE-EXIT,MIST-WALL,NOTE-EXIT,ENTRANCE-EXIT,Level 2"
"Find the SYNONYMS: (PURPLE EXCELLENT FARM) | (RUBBER GOOD TABLE),EXCELLENT-GOOD,FARM-GOOD,PURPLE-TABLE,PURPLE-GOOD,FARM-TABLE,EXCELLENT-GOOD,Level 1"
"Find the ANTONYMS: (JUICE APPLE DEEP) | (KITE SHALLOW LEMON),DEEP-KITE,JUICE-SHALLOW,APPLE-LEMON,JUICE-LEMON,DEEP-SHALLOW,DEEP-SHALLOW,Level 2"
"Find the SYNONYMS: (EMIT UMBRELLA PATH) | (GOLD FENCE RELEASE),PATH-RELEASE,PATH-FENCE,PATH-GOLD,EMIT-RELEASE,UMBRELLA-GOLD,EMIT-RELEASE,Level 2"
"Find the ANTONYMS: (ORANGE BUY HEAD) | (RAIN SELL VIOLIN),ORANGE-SELL,BUY-VIOLIN,BUY-RAIN,ORANGE-VIOLIN,BUY-SELL,BUY-SELL,Level 2"
"Find the SYNONYMS: (ELDERLY METAL SEED) | (ATTIC OLD RING),ELDERLY-ATTIC,ELDERLY-OLD,ELDERLY-RING,METAL-OLD,METAL-ATTIC,ELDERLY-OLD,Level 3"
"Find the SYNONYMS: (VELVET OVEN FEROCIOUS) | (BRUSH FIERCE MILK),OVEN-MILK,VELVET-BRUSH,FEROCIOUS-BRUSH,OVEN-FIERCE,FEROCIOUS-FIERCE,FEROCIOUS-FIERCE,Level 2"
"Find the SYNONYMS: (SEED PENCIL ELECT) | (ACTOR BUTTER CHOOSE),SEED-BUTTER,ELECT-ACTOR,ELECT-BUTTER,PENCIL-ACTOR,ELECT-CHOOSE,ELECT-CHOOSE,Level 2"
"Find the ANTONYMS: (IRON EXAGGERATE SHOE) | (TEACHER UNDERSTATE QUEEN),IRON-UNDERSTATE,EXAGGERATE-TEACHER,EXAGGERATE-UNDERSTATE,SHOE-TEACHER,IRON-TEACHER,EXAGGERATE-UNDERSTATE,Level 1"
"Find the ANTONYMS: (TOOTH FOLLOW BICYCLE) | (SATIN LEAD TRAIN),BICYCLE-LEAD,BICYCLE-TRAIN,BICYCLE-SATIN,FOLLOW-SATIN,FOLLOW-LEAD,FOLLOW-LEAD,Level 2"
"Find the SYNONYMS: (BEACH LEAF FLOAT) | (SALT DRIFT RAIN),FLOAT-SALT,BEACH-SALT,BEACH-RAIN,FLOAT-DRIFT,BEACH-DRIFT,FLOAT-DRIFT,Level 2"
"Find the ANTONYMS: (APPLE MARKET CAPTURE) | (RELEASE NAIL PIE),MARKET-PIE,CAPTURE-PIE,APPLE-NAIL,CAPTURE-RELEASE,APPLE-RELEASE,CAPTURE-RELEASE,Level 2"
"Find the ANTONYMS: (CHILD ROPE SILVER) | (BONE DRUM ADULT),ROPE-BONE,CHILD-BONE,ROPE-ADULT,CHILD-ADULT,SILVER-BONE,CHILD-ADULT,Level 3"
"Find the SYNONYMS: (STORM CONFLICT PAN) | (DUST TIGER FIGHT),STORM-TIGER,STORM-FIGHT,CONFLICT-DUST,CONFLICT-FIGHT,PAN-TIGER,CONFLICT-FIGHT,Level 3"
"Find the SYNONYMS: (DRESS DESCRIBE FACTORY) | (DUST EGG PORTRAY),DESCRIBE-EGG,FACTORY-PORTRAY,DESCRIBE-PORTRAY,DESCRIBE-DUST,FACTORY-EGG,DESCRIBE-PORTRAY,Level 3"
"Find the SYNONYMS: (DECREASE HEAT STREET) | (CAKE SINK REDUCE),STREET-REDUCE,HEAT-CAKE,HEAT-REDUCE,DECREASE-REDUCE,STREET-CAKE,DECREASE-REDUCE,Level 2"
"Find the SYNONYMS: (TUNNEL PLAYER DOCILE) | (TAME APPLE LEMON),DOCILE-LEMON,DOCILE-TAME,DOCILE-APPLE,PLAYER-TAME,PLAYER-APPLE,DOCILE-TAME,Level 2"
"Find the SYNONYMS: (EXAMPLE BALL TOOTH) | (HAND INSTANCE SOFA),TOOTH-SOFA,EXAMPLE-SOFA,TOOTH-INSTANCE,BALL-HAND,EXAMPLE-INSTANCE,EXAMPLE-INSTANCE,Level 2"
"Find the SYNONYMS: (CIRCLE UMBRELLA ERROR) | (MISTAKE OVEN WINDOW),ERROR-OVEN,CIRCLE-OVEN,UMBRELLA-WINDOW,UMBRELLA-MISTAKE,ERROR-MISTAKE,ERROR-MISTAKE,Level 2"
"Find the SYNONYMS: (ASH ROOF CARE) | (LAMP LEAF CONCERN),ROOF-LEAF,CARE-LAMP,ROOF-LAMP,CARE-CONCERN,ASH-LAMP,CARE-CONCERN,Level 3"
"Find the ANTONYMS: (GRASS COURAGE ZEBRA) | (COWARDICE GLOVE MARKET),COURAGE-MARKET,ZEBRA-COWARDICE,ZEBRA-GLOVE,COURAGE-COWARDICE,COURAGE-GLOVE,COURAGE-COWARDICE,Level 2"
"Find the SYNONYMS: (EXCEPT WRITER TOWN) | (TUNNEL EXCLUDING SHOE),EXCEPT-EXCLUDING,EXCEPT-TUNNEL,EXCEPT-SHOE,WRITER-TUNNEL,TOWN-TUNNEL,EXCEPT-EXCLUDING,Level 1"
"Find the SYNONYMS: (ZOO FLUTE DUBIOUS) | (BACK DOUBTFUL SNOW),DUBIOUS-BACK,DUBIOUS-DOUBTFUL,FLUTE-SNOW,ZOO-BACK,ZOO-SNOW,DUBIOUS-DOUBTFUL,Level 2"
"Find the SYNONYMS: (CHIEF BANK PASTA) | (PIZZA EYE LEADER),BANK-LEADER,CHIEF-LEADER,BANK-PIZZA,CHIEF-PIZZA,PASTA-PIZZA,CHIEF-LEADER,Level 1"
"Find the SYNONYMS: (BELIEVE PLATE BEACH) | (SOUP TRUST OVEN),BELIEVE-TRUST,BEACH-OVEN,PLATE-TRUST,PLATE-SOUP,BEACH-TRUST,BELIEVE-TRUST,Level 3"
"Find the ANTONYMS: (SPICE ACTOR EVERY) | (NONE FLAG HEAT),EVERY-FLAG,ACTOR-HEAT,ACTOR-NONE,EVERY-NONE,SPICE-HEAT,EVERY-NONE,Level 3"
"Find the ANTONYMS: (SOCK CENTER RIVER) | (MOUNTAIN VILLAGE EDGE),CENTER-EDGE,CENTER-MOUNTAIN,CENTER-VILLAGE,RIVER-MOUNTAIN,SOCK-MOUNTAIN,CENTER-EDGE,Level 3"
"Find the ANTONYMS: (SAND ESSENTIAL ICE) | (FIRE MAP UNNECESSARY),SAND-UNNECESSARY,ESSENTIAL-UNNECESSARY,SAND-MAP,ICE-UNNECESSARY,ICE-FIRE,ESSENTIAL-UNNECESSARY,Level 2"
"Find the ANTONYMS: (PLAYER OFFICE FAST) | (SLOW POTATO FOOT),OFFICE-POTATO,PLAYER-SLOW,FAST-SLOW,OFFICE-FOOT,OFFICE-SLOW,FAST-SLOW,Level 3"
"Find the SYNONYMS: (STAR LAMP FLAME) | (FIRE HAT GOLD),STAR-FIRE,LAMP-FIRE,FLAME-HAT,LAMP-HAT,FLAME-FIRE,FLAME-FIRE,Level 3"
"Find the ANTONYMS: (GUITAR DUSK CINEMA) | (DAWN TRIANGLE PLASTIC),DUSK-TRIANGLE,DUSK-DAWN,CINEMA-DAWN,CINEMA-PLASTIC,GUITAR-DAWN,DUSK-DAWN,Level 2"
"Find the ANTONYMS: (HAIR FAR LION) | (NEAR SALAD PLATE),HAIR-PLATE,LION-NEAR,LION-SALAD,FAR-NEAR,HAIR-NEAR,FAR-NEAR,Level 1"
"Find the SYNONYMS: (FACTORY FOG DISGRACE) | (SHAME TOWEL ROAD),FACTORY-ROAD,DISGRACE-TOWEL,DISGRACE-SHAME,FOG-SHAME,FACTORY-SHAME,DISGRACE-SHAME,Level 3"
"Find the SYNONYMS: (NOTE CREATE CHEESE) | (BUTTER LEMON MAKE),CREATE-MAKE,NOTE-LEMON,CHEESE-MAKE,CREATE-LEMON,CREATE-BUTTER,CREATE-MAKE,Level 3"
"Find the ANTONYMS: (FOOT ENCOURAGE CITY) | (DOOR STATION DISCOURAGE),ENCOURAGE-DISCOURAGE,ENCOURAGE-DOOR,CITY-DOOR,CITY-STATION,ENCOURAGE-STATION,ENCOURAGE-DISCOURAGE,Level 2"
"Find the SYNONYMS: (SHUT CLOCK FOG) | (CLOSE JUG BALL),SHUT-CLOSE,SHUT-JUG,CLOCK-JUG,CLOCK-CLOSE,FOG-BALL,SHUT-CLOSE,Level 1"
"Find the ANTONYMS: (SUGAR CONFIDENCE FORK) | (FEAR SCHOOL DRUM),CONFIDENCE-FEAR,CONFIDENCE-SCHOOL,SUGAR-SCHOOL,SUGAR-FEAR,FORK-DRUM,CONFIDENCE-FEAR,Level 2"
"Find the SYNONYMS: (PANTS HAT ABODE) | (DWELLING JUG BALL),ABODE-DWELLING,HAT-JUG,HAT-DWELLING,PANTS-JUG,PANTS-DWELLING,ABODE-DWELLING,Level 3"
"Find the SYNONYMS: (FORBID BOTTLE PIE) | (RAIN PROHIBIT KING),BOTTLE-PROHIBIT,FORBID-PROHIBIT,BOTTLE-RAIN,FORBID-RAIN,PIE-KING,FORBID-PROHIBIT,Level 2"
"Find the SYNONYMS: (DOOR BEHAVIOR FRIDGE) | (CONDUCT SOFA WINDOW),FRIDGE-SOFA,DOOR-WINDOW,FRIDGE-WINDOW,BEHAVIOR-CONDUCT,DOOR-SOFA,BEHAVIOR-CONDUCT,Level 2"
"Find the ANTONYMS: (EAR BOWL DOUBT) | (TRUST HAND CUP),DOUBT-TRUST,EAR-HAND,BOWL-CUP,BOWL-HAND,DOUBT-CUP,DOUBT-TRUST,Level 2"
"Find the SYNONYMS: (PANTS STOVE DUSK) | (OVEN BELT TWILIGHT),DUSK-TWILIGHT,STOVE-BELT,STOVE-OVEN,PANTS-BELT,PANTS-OVEN,DUSK-TWILIGHT,Level 3"
"Find the SYNONYMS: (SPOON CHAIR DREADFUL) | (TERRIBLE SHIRT TABLE),DREADFUL-TERRIBLE,CHAIR-TERRIBLE,CHAIR-TABLE,SPOON-TABLE,SPOON-TERRIBLE,DREADFUL-TERRIBLE,Level 2"
"Find the SYNONYMS: (TEACHER BIZARRE FOOT) | (WEIRD HAT DOCTOR),TEACHER-DOCTOR,BIZARRE-WEIRD,FOOT-HAT,BIZARRE-DOCTOR,FOOT-DOCTOR,BIZARRE-WEIRD,Level 3"
"Find the ANTONYMS: (PENCIL EAGER PAPER) | (INDIFFERENT WRITE READER),EAGER-INDIFFERENT,PAPER-WRITE,PENCIL-WRITE,PAPER-READER,EAGER-READER,EAGER-INDIFFERENT,Level 3"
"Find the ANTONYMS: (KITCHEN ELIMINATE DOLL) | (COOK TOY INCLUDE),ELIMINATE-INCLUDE,DOLL-TOY,KITCHEN-COOK,ELIMINATE-TOY,KITCHEN-TOY,ELIMINATE-INCLUDE,Level 2"
"Find the SYNONYMS: (PENCIL BEWILDER GRAPE) | (FRUIT PUZZLE WRITE),GRAPE-FRUIT,BEWILDER-PUZZLE,PENCIL-WRITE,BEWILDER-FRUIT,PENCIL-PUZZLE,BEWILDER-PUZZLE,Level 3"
"Find the SYNONYMS: (CAR CONCEAL BOOK) | (HIDE PAGE DRIVER),CONCEAL-HIDE,CAR-DRIVER,BOOK-PAGE,CONCEAL-PAGE,BOOK-HIDE,CONCEAL-HIDE,Level 2"
"Find the ANTONYMS: (CAR BLAME BOTTLE) | (PRAISE DRIVER GLASS),BLAME-PRAISE,CAR-DRIVER,BOTTLE-GLASS,BLAME-DRIVER,CAR-PRAISE,BLAME-PRAISE,Level 2"
"Find the SYNONYMS: (BLISS KING BICYCLE) | (JOY CROWN WHEEL),KING-CROWN,BLISS-JOY,BICYCLE-WHEEL,BLISS-WHEEL,KING-JOY,BLISS-JOY,Level 2"
"Find the SYNONYMS: (STOVE ENJOY RING) | (JEWEL LIKE COOK),RING-JEWEL,ENJOY-LIKE,STOVE-COOK,RING-COOK,ENJOY-JEWEL,ENJOY-LIKE,Level 1"
"Find the SYNONYMS: (BICYCLE PIG CRUEL) | (MEAN WHEEL ANIMAL),PIG-ANIMAL,CRUEL-MEAN,BICYCLE-WHEEL,CRUEL-WHEEL,PIG-MEAN,CRUEL-MEAN,Level 2"
"Find the SYNONYMS: (BONE ACCURATE FORK) | (CORRECT MEAT SKELETON),BONE-SKELETON,ACCURATE-CORRECT,FORK-MEAT,ACCURATE-SKELETON,BONE-CORRECT,ACCURATE-CORRECT,Level 2"
"Find the ANTONYMS: (COMPLEX SOFA CUP) | (SIMPLE CHAIR PLATE),CUP-PLATE,COMPLEX-SIMPLE,SOFA-CHAIR,COMPLEX-PLATE,SOFA-SIMPLE,COMPLEX-SIMPLE,Level 3"
"Find the ANTONYMS: (PAPER ETERNAL DESK) | (TEMPORARY PEN CHAIR),ETERNAL-TEMPORARY,PAPER-PEN,DESK-CHAIR,ETERNAL-PEN,PAPER-TEMPORARY,ETERNAL-TEMPORARY,Level 3"
"Find the SYNONYMS: (PANTS DESIRE DESK) | (TABLE WANT BELT),DESIRE-WANT,PANTS-BELT,DESK-TABLE,DESIRE-TABLE,DESK-WANT,DESIRE-WANT,Level 1"
"Find the ANTONYMS: (RADIO FORBID SOFA) | (ALLOW MUSIC CHAIR),FORBID-ALLOW,SOFA-CHAIR,RADIO-MUSIC,FORBID-CHAIR,RADIO-ALLOW,FORBID-ALLOW,Level 2"
"Find the ANTONYMS: (SHIRT EMPTY CUP) | (FULL HAT PLATE),EMPTY-FULL,SHIRT-HAT,CUP-PLATE,EMPTY-HAT,SHIRT-FULL,EMPTY-FULL,Level 1"
"Find the SYNONYMS: (SHIRT EATEN FANCY) | (ORNATE CONSUMED CLOTHES),FANCY-ORNATE,EATEN-CONSUMED,SHIRT-CLOTHES,EATEN-ORNATE,FANCY-CONSUMED,FANCY-ORNATE,Level 3"
"Find the SYNONYMS: (RADIO CHIEF BOOK) | (SOUND LEADER READ),CHIEF-LEADER,RADIO-SOUND,BOOK-READ,CHIEF-READ,RADIO-LEADER,CHIEF-LEADER,Level 2"
"Find the SYNONYMS: (SHIRT PENCIL BRIEF) | (WRITE SHORT CLOTHES),BRIEF-SHORT,PENCIL-WRITE,SHIRT-CLOTHES,BRIEF-CLOTHES,PENCIL-SHORT,BRIEF-SHORT,Level 1"
"Find the ANTONYMS: (KING EXHAUST DOOR) | (WINDOW REPLENISH QUEEN),EXHAUST-REPLENISH,DOOR-WINDOW,KING-QUEEN,EXHAUST-QUEEN,KING-REPLENISH,EXHAUST-REPLENISH,Level 3"
"Find the SYNONYMS: (FORK HAT FAME) | (RENOWN CAP KNIFE),FAME-RENOWN,HAT-CAP,FORK-KNIFE,FAME-KNIFE,HAT-RENOWN,FAME-RENOWN,Level 3"
"Find the ANTONYMS: (KING ROUGH TABLE) | (QUEEN SMOOTH CHAIR),ROUGH-SMOOTH,KING-QUEEN,TABLE-CHAIR,ROUGH-QUEEN,KING-SMOOTH,ROUGH-SMOOTH,Level 2"
"Find the ANTONYMS: (PIG FACT CUP) | (ANIMAL FICTION PLATE),FACT-FICTION,CUP-PLATE,PIG-ANIMAL,FACT-ANIMAL,PIG-FICTION,FACT-FICTION,Level 2"
"Find the SYNONYMS: (BED ACCOMPLISH FORK) | (ACHIEVE SLEEP KNIFE),ACCOMPLISH-ACHIEVE,BED-SLEEP,FORK-KNIFE,ACCOMPLISH-KNIFE,BED-ACHIEVE,ACCOMPLISH-ACHIEVE,Level 2"
"Find the ANTONYMS: (FRAGILE PIG TREE) | (TOUGH LEAF ANIMAL),PIG-ANIMAL,FRAGILE-TOUGH,TREE-LEAF,FRAGILE-ANIMAL,PIG-TOUGH,FRAGILE-TOUGH,Level 2"
"Find the SYNONYMS: (SHIRT DECAY PIG) | (ROT CLOTHES ANIMAL),DECAY-ROT,PIG-ANIMAL,SHIRT-CLOTHES,DECAY-CLOTHES,PIG-ROT,DECAY-ROT,Level 2"
"Find the SYNONYMS: (FORK BED CONFESS) | (ADMIT SLEEP KNIFE),CONFESS-ADMIT,BED-SLEEP,FORK-KNIFE,CONFESS-SLEEP,BED-ADMIT,CONFESS-ADMIT,Level 2"
"Find the ANTONYMS: (PIG EXPAND DESK) | (CHAIR CONTRACT ANIMAL),PIG-ANIMAL,EXPAND-CONTRACT,DESK-CHAIR,EXPAND-ANIMAL,PIG-CONTRACT,EXPAND-CONTRACT,Level 2"
"Find the ANTONYMS: (SHIRT TREE EXEMPT) | (LIABLE CLOTHES LEAF),EXEMPT-LIABLE,TREE-LEAF,SHIRT-CLOTHES,EXEMPT-CLOTHES,TREE-LIABLE,EXEMPT-LIABLE,Level 3"
"Find the ANTONYMS: (EXPAND CUP DESK) | (PLATE CONTRACT CHAIR),EXPAND-CONTRACT,CUP-PLATE,DESK-CHAIR,EXPAND-PLATE,CUP-CONTRACT,EXPAND-CONTRACT,Level 2"
"Find the ANTONYMS: (FLAT KING PENCIL) | (QUEEN WRITE HILLY),FLAT-HILLY,KING-QUEEN,PENCIL-WRITE,FLAT-QUEEN,KING-HILLY,FLAT-HILLY,Level 2"
"Find the ANTONYMS: (DESK FAMILIAR HAT) | (STRANGE CAP CHAIR),FAMILIAR-STRANGE,HAT-CAP,DESK-CHAIR,FAMILIAR-CHAIR,HAT-STRANGE,FAMILIAR-STRANGE,Level 2"
"Find the SYNONYMS: (FAT TREE PIG) | (LEAF PLUMP ANIMAL),FAT-PLUMP,PIG-ANIMAL,TREE-LEAF,FAT-ANIMAL,PIG-PLUMP,FAT-PLUMP,Level 1"
"Find the SYNONYMS: (CUP HAT DILIGENT) | (CAP PLATE HARDWORKING),DILIGENT-HARDWORKING,HAT-CAP,CUP-PLATE,DILIGENT-CAP,HAT-HARDWORKING,DILIGENT-HARDWORKING,Level 3"
"Find the ANTONYMS: (HAT FORBID KING) | (QUEEN CAP ALLOW),FORBID-ALLOW,KING-QUEEN,HAT-CAP,FORBID-CAP,KING-ALLOW,FORBID-ALLOW,Level 2"
"Find the SYNONYMS: (PIG FAT PAPER) | (ANIMAL PLUMP PEN),FAT-PLUMP,PIG-ANIMAL,PAPER-PEN,FAT-ANIMAL,PIG-PLUMP,FAT-PLUMP,Level 1"
"Find the ANTONYMS: (SOFA EXHALE BED) | (INHALE CHAIR SLEEP),EXHALE-INHALE,SOFA-CHAIR,BED-SLEEP,EXHALE-CHAIR,SOFA-INHALE,EXHALE-INHALE,Level 3"
"Find the SYNONYMS: (BED EXERCISE SOFA) | (PRACTICE SLEEP CHAIR),EXERCISE-PRACTICE,BED-SLEEP,SOFA-CHAIR,EXERCISE-CHAIR,BED-PRACTICE,EXERCISE-PRACTICE,Level 2"
"Find the ANTONYMS: (FORK HAT ENORMOUS) | (KNIFE TINY CAP),ENORMOUS-TINY,HAT-CAP,FORK-KNIFE,ENORMOUS-CAP,HAT-TINY,ENORMOUS-TINY,Level 2"
"Find the SYNONYMS: (SHIRT HAT FORBID) | (CAP CLOTHES PROHIBIT),FORBID-PROHIBIT,SHIRT-CLOTHES,HAT-CAP,FORBID-CLOTHES,SHIRT-PROHIBIT,FORBID-PROHIBIT,Level 2"
"Find the ANTONYMS: (HAT BED FOREIGN) | (NATIVE SLEEP CAP),FOREIGN-NATIVE,BED-SLEEP,HAT-CAP,FOREIGN-CAP,BED-NATIVE,FOREIGN-NATIVE,Level 2"
"Find the ANTONYMS: (DESK BED FLEXIBLE) | (SLEEP RIGID CHAIR),FLEXIBLE-RIGID,BED-SLEEP,DESK-CHAIR,FLEXIBLE-CHAIR,BED-RIGID,FLEXIBLE-RIGID,Level 3"
"Find the SYNONYMS: (TREE BED DEPART) | (LEAVE SLEEP LEAF),DEPART-LEAVE,BED-SLEEP,TREE-LEAF,DEPART-SLEEP,BED-LEAVE,DEPART-LEAVE,Level 2"
"Find the ANTONYMS: (FORK PAPER FRUGAL) | (WASTEFUL PEN KNIFE),FRUGAL-WASTEFUL,PAPER-PEN,FORK-KNIFE,FRUGAL-PEN,PAPER-WASTEFUL,FRUGAL-WASTEFUL,Level 3"
"Find the SYNONYMS: (RADIO TREE DREADFUL) | (LEAF TERRIBLE SOUND),DREADFUL-TERRIBLE,TREE-LEAF,RADIO-SOUND,DREADFUL-SOUND,TREE-TERRIBLE,DREADFUL-TERRIBLE,Level 3"
"Find the ANTONYMS: (BED PIG ENJOY) | (ANIMAL HATE SLEEP),ENJOY-HATE,PIG-ANIMAL,BED-SLEEP,ENJOY-ANIMAL,PIG-HATE,ENJOY-HATE,Level 2"
"Find the SYNONYMS: (SOFA BED DARING) | (SLEEP BOLD CHAIR),DARING-BOLD,BED-SLEEP,SOFA-CHAIR,DARING-CHAIR,BED-BOLD,DARING-BOLD,Level 2"
"Find the SYNONYMS: (PAPER CUP DELICATE) | (FRAGILE PEN PLATE),DELICATE-FRAGILE,PAPER-PEN,CUP-PLATE,DELICATE-PEN,PAPER-FRAGILE,DELICATE-FRAGILE,Level 3"
"Find the SYNONYMS: (PENCIL EAGER CUP) | (KEEN WRITE PLATE),EAGER-KEEN,PENCIL-WRITE,CUP-PLATE,EAGER-WRITE,PENCIL-KEEN,EAGER-KEEN,Level 2"
"Find the ANTONYMS: (BED DESK ENLARGE) | (CHAIR REDUCE SLEEP),ENLARGE-REDUCE,DESK-CHAIR,BED-SLEEP,ENLARGE-SLEEP,DESK-REDUCE,ENLARGE-REDUCE,Level 2"
"Find the SYNONYMS: (HAT BED FABRICATE) | (SLEEP CAP INVENT),FABRICATE-INVENT,HAT-CAP,BED-SLEEP,FABRICATE-CAP,HAT-INVENT,FABRICATE-INVENT,Level 3"
"Find the SYNONYMS: (TREE RADIO DETACH) | (LEAF SEPARATE SOUND),DETACH-SEPARATE,TREE-LEAF,RADIO-SOUND,DETACH-LEAF,TREE-SEPARATE,DETACH-SEPARATE,Level 2"
"Find the ANTONYMS: (CUP PENCIL FATIGUE) | (ENERGY WRITE PLATE),FATIGUE-ENERGY,PENCIL-WRITE,CUP-PLATE,FATIGUE-PLATE,PENCIL-ENERGY,FATIGUE-ENERGY,Level 2"
"Find the SYNONYMS: (RADIO FORK FATIGUE) | (TIREDNESS KNIFE SOUND),FATIGUE-TIREDNESS,FORK-KNIFE,RADIO-SOUND,FATIGUE-KNIFE,FORK-TIREDNESS,FATIGUE-TIREDNESS,Level 3"
"Find the SYNONYMS: (KING BED DENOUNCE) | (QUEEN SLEEP BLAME),DENOUNCE-BLAME,BED-SLEEP,KING-QUEEN,DENOUNCE-SLEEP,BED-BLAME,DENOUNCE-BLAME,Level 3"
"Find the SYNONYMS: (RADIO PAPER DENSE) | (THICK PEN SOUND),DENSE-THICK,PAPER-PEN,RADIO-SOUND,DENSE-PEN,PAPER-THICK,DENSE-THICK,Level 2"
"Find the SYNONYMS: (DESK FORK FATAL) | (CHAIR DEADLY KNIFE),FATAL-DEADLY,FORK-KNIFE,DESK-CHAIR,FATAL-KNIFE,FORK-DEADLY,FATAL-DEADLY,Level 2"
"Find the SYNONYMS: (SHIRT SOFA EMPLOY) | (CHAIR HIRE CLOTHES),EMPLOY-HIRE,SOFA-CHAIR,SHIRT-CLOTHES,EMPLOY-CHAIR,SOFA-HIRE,EMPLOY-HIRE,Level 2"
"Find the ANTONYMS: (PAPER TREE FORGET) | (LEAF REMEMBER PEN),FORGET-REMEMBER,TREE-LEAF,PAPER-PEN,FORGET-PEN,TREE-REMEMBER,FORGET-REMEMBER,Level 2"
"Find the ANTONYMS: (CUP TREE FAIL) | (SUCCEED LEAF PLATE),FAIL-SUCCEED,TREE-LEAF,CUP-PLATE,FAIL-PLATE,TREE-SUCCEED,FAIL-SUCCEED,Level 1"
"Find the SYNONYMS: (PENCIL RADIO ETERNAL) | (ENDLESS SOUND WRITE),ETERNAL-ENDLESS,RADIO-SOUND,PENCIL-WRITE,ETERNAL-SOUND,RADIO-ENDLESS,ETERNAL-ENDLESS,Level 3"
"Find the SYNONYMS: (DESK PIG DAMP) | (CHAIR ANIMAL MOIST),DAMP-MOIST,PIG-ANIMAL,DESK-CHAIR,DAMP-ANIMAL,PIG-MOIST,DAMP-MOIST,Level 2"
"Find the SYNONYMS: (RADIO PIG DESTROY) | (RUIN ANIMAL SOUND),DESTROY-RUIN,PIG-ANIMAL,RADIO-SOUND,DESTROY-ANIMAL,PIG-RUIN,DESTROY-RUIN,Level 2"
"Find the SYNONYMS: (DESK KING DUBIOUS) | (QUEEN DOUBTFUL CHAIR),DUBIOUS-DOUBTFUL,KING-QUEEN,DESK-CHAIR,DUBIOUS-QUEEN,KING-DOUBTFUL,DUBIOUS-DOUBTFUL,Level 3"
"Find the ANTONYMS: (TREE RADIO FANCY) | (LEAF SOUND PLAIN),FANCY-PLAIN,RADIO-SOUND,TREE-LEAF,FANCY-SOUND,RADIO-PLAIN,FANCY-PLAIN,Level 2"
"Find the ANTONYMS: (PIG BED EXCITE) | (SLEEP ANIMAL CALM),EXCITE-CALM,BED-SLEEP,PIG-ANIMAL,EXCITE-SLEEP,BED-CALM,EXCITE-CALM,Level 2"
"Find the ANTONYMS: (SOFA TREE FAR) | (NEAR LEAF CHAIR),FAR-NEAR,TREE-LEAF,SOFA-CHAIR,FAR-CHAIR,TREE-NEAR,FAR-NEAR,Level 1"
"Find the ANTONYMS: (KING FORK FAITH) | (DOUBT KNIFE QUEEN),FAITH-DOUBT,FORK-KNIFE,KING-QUEEN,FAITH-KNIFE,FORK-DOUBT,FAITH-DOUBT,Level 2"
